SubRegion,Review_Region,Review_Stratum
Mid San Pablo Bay,Far West,San Pablo Bay and Carquinez Strait
East San Pablo Bay,Far West,San Pablo Bay and Carquinez Strait
Upper Napa River,Far West,Napa River
Lower Napa River,Far West,Napa River
Carquinez Strait,Far West,San Pablo Bay and Carquinez Strait
West Suisun Bay,Suisun Bay and Marsh,Suisun and Honker Bays
Mid Suisun Bay,Suisun Bay and Marsh,Suisun and Honker Bays
Suisun Marsh,Suisun Bay and Marsh,Suisun Marsh
Honker Bay,Suisun Bay and Marsh,Suisun and Honker Bays
Sacramento River near Rio Vista,Confluence,Confluence
San Joaquin River at Twitchell Island,Confluence,Confluence
Lower Sacramento River,Confluence,Confluence
Lower San Joaquin River,Confluence,Confluence
Sacramento River Ship Channel,North,Sacramento Ship Channel
Cache Slough and Liberty Island,North,Cache Slough
Upper Sacramento River,North,Sacramento Mainstem
Sacramento River near Ryde,North,Sacramento Mainstem
North and South Forks Mokelumne River,South,North and South Forks Mokelumne River
Franks Tract,South,South
Holland Cut,South,South
Middle River,South,South
Mildred Island,South,South
Old River,South,South
San Joaquin River at Prisoners Pt,South,South
San Joaquin River near Stockton,South,South
Victoria Canal,South,South
Upper San Joaquin River,South,South
Grant Line Canal and Old River,South,South
Rock Slough and Discovery Bay,South,South
Disappointment Slough,South,South
