OrganismRowID,OrganismCode,Active,CommonName,Phylum,Class,Order,Family,Genus,Species,AlternateName,NameInSAS,OrganismSymbol,Comments,NormalizedCode
1,1,TRUE,Bat Ray,n/a,n/a,n/a,Myliobatidae,Myliobatis,californica,,BATRAY,,,230
2,-1,TRUE,Err Code-missing Ascii Data,n/a,n/a,n/a,n/a,n/a,n/a,,,,,-999
3,10,TRUE,Pacific Lamprey,n/a,n/a,n/a,Petromyzontidae,Lampetra,tridentata,,PLAMPREY,,,158
4,100,TRUE,Moon Jellies,n/a,n/a,n/a,n/a,Aurelia spp.,n/a,,,,First ID in 2001,277
5,101,TRUE,Maeotias,n/a,n/a,n/a,n/a,Maeotias,marginata,,,,First ID in 2001,271
6,102,TRUE,Blackfordia,n/a,n/a,n/a,n/a,Blackfordia,virginica,,,,,268
7,103,TRUE,Siberian Prawn,n/a,n/a,n/a,Palaemonidae,Exopalaemon,modestus,,,,First ID in 2001,272
8,104,TRUE,Redear Sunfish,n/a,n/a,n/a,Centrarchidae,Lepomis,macrolophus,,,,,162
9,105,TRUE,Polyorchis,n/a,n/a,n/a,n/a,Polyorchis,penicillatus,,,,,267
10,106,TRUE,Scrippsia pacifica,Cnidaria,Hydrozoa,Anthomedusae,Polyorchidae,Scrippsia,pacifica,,,,,
11,107,TRUE,Comb Jelly or Sea Goosberry,Ctenophora,n/p,Cydippida,n/a,Pleurobrachia,bachei,,,,First ID in 2004,
12,108,TRUE,California Grunion,n/a,n/a,n/a,Atherinopsidae,Leuresthes,tenuis,,,,,
13,109,TRUE,Striped Bass age-3+,n/a,n/a,n/a,Percichthyidae,Morone,saxatilis,,,,Data before 2007 is inconsistant,
14,11,TRUE,River Lamprey,n/a,n/a,n/a,Petromyzontidae,Lampetra,ayresi,,RLAMPREY,,,208
15,110,TRUE,Silver Surfperch,n/a,n/a,n/a,Embiotocidae,Hyperprosopon,ellipticum,,,,,
16,111,TRUE,Aequorea spp. (Lens Jellyfish),n/a,n/a,n/a,n/a,Aequorea spp.,n/a,,,,Caught but not recorded in 2009.,
17,112,TRUE,Riffle Sculpin,n/a,n/a,n/a,Cottidae,Cottus,gulosus,,,,,
18,113,TRUE,Spotted Bass,n/a,n/a,n/a,Centrarchidae,Micropterus,punctulatus,,,,,
115,114,TRUE,Rainwater Killifish,n/a,n/a,n/a,Fundulidae,Lucania,parva,,,,,
