SampleDate,Year,Month,TowNumber,SurveySeason,StationCode,Volume,Type,Longitude,Latitude
2007-10-01,2007,10,1,FMWT,305,5074.8128739,Start,-122.41778333332806,37.99528333346111
2007-10-01,2007,10,1,FMWT,305,5074.8128739,End,-122.41611666679445,37.99666666666667
2007-10-01,2007,10,1,FMWT,305,5074.8128739,Station,-122.4086,37.9987
2007-10-01,2007,10,1,FMWT,306,5721.4928078,Start,-122.40695000012778,38.00111666666139
2007-10-01,2007,10,1,FMWT,306,5721.4928078,End,-122.405,38.00194999999472
2007-10-01,2007,10,1,FMWT,306,5721.4928078,Station,-122.41488,38.00042
2007-10-01,2007,10,1,FMWT,307,4732.926506,Start,-122.41638333320556,38.0075
2007-10-01,2007,10,1,FMWT,307,4732.926506,End,-122.41445000012779,38.00666666666667
2007-10-01,2007,10,1,FMWT,307,4732.926506,Station,-122.4192,38.00472
2007-10-01,2007,10,1,FMWT,308,5816.093829699999,Start,-122.40445000012778,38.0175
2007-10-01,2007,10,1,FMWT,308,5816.093829699999,End,-122.40083333333334,38.016116666794446
2007-10-01,2007,10,1,FMWT,308,5816.093829699999,Station,-122.40438,38.01745
2007-11-05,2007,11,1,FMWT,305,5144.3978201,Start,-122.40611666679445,38.00333333333333
2007-11-05,2007,11,1,FMWT,305,5144.3978201,End,-122.40554999987222,38.00528333346111
2007-11-05,2007,11,1,FMWT,305,5144.3978201,Station,-122.4086,37.9987
2007-11-05,2007,11,1,FMWT,306,4109.537401199999,Start,-122.41416666666667,38.004450000127775
2007-11-05,2007,11,1,FMWT,306,4109.537401199999,End,-122.41861666666139,38.00388333320556
2007-11-05,2007,11,1,FMWT,306,4109.537401199999,Station,-122.41488,38.00042
2007-11-05,2007,11,1,FMWT,307,4397.0785012,Start,-122.42054999987222,38.00778333346111
2007-11-05,2007,11,1,FMWT,307,4397.0785012,End,-122.42361666679444,38.00695000012778
2007-11-05,2007,11,1,FMWT,307,4397.0785012,Station,-122.4192,38.00472
2007-11-05,2007,11,1,FMWT,308,5086.8896001,Start,-122.4011166666614,38.01971666653889
2007-11-05,2007,11,1,FMWT,308,5086.8896001,End,-122.39945000012779,38.01971666653889
2007-11-05,2007,11,1,FMWT,308,5086.8896001,Station,-122.40438,38.01745
2007-12-06,2007,12,1,FMWT,305,4010.3357217,Start,-122.41138333320556,37.99861666679445
2007-12-06,2007,12,1,FMWT,305,4010.3357217,End,-122.40388333320556,38.00361666679444
2007-12-06,2007,12,1,FMWT,305,4010.3357217,Station,-122.4086,37.9987
2007-12-06,2007,12,1,FMWT,308,4252.732869,Start,-122.3997166665389,38.02278333346111
2007-12-06,2007,12,1,FMWT,308,4252.732869,End,-122.39195000012778,38.027499999999996
2007-12-06,2007,12,1,FMWT,308,4252.732869,Station,-122.40438,38.01745
2008-09-08,2008,9,1,FMWT,305,4740.4025746,Start,-122.41694999999473,37.99695000012778
2008-09-08,2008,9,1,FMWT,305,4740.4025746,End,-122.41721666667195,37.99695000012778
2008-09-08,2008,9,1,FMWT,305,4740.4025746,Station,-122.4086,37.9987
2008-09-08,2008,9,1,FMWT,306,3188.5432579000003,Start,-122.4072166665389,38.00388333320556
2008-09-08,2008,9,1,FMWT,306,3188.5432579000003,End,-122.40804999987223,38.00721666653889
