SurveySeason,StationCode,Station_Longitude,Station_Latitude,Region,SubRegion,category,CatchData,EnvData
BayStudy,244,-122.468,37.9237,NA,NA,NA,TRUE,TRUE
BayStudy,216,-122.4363,37.9208,NA,NA,NA,TRUE,TRUE
BayStudy,323,-122.43,38.0187,NA,NA,deep,TRUE,TRUE
BayStudy,213,-122.4271667,37.8325,NA,NA,NA,TRUE,TRUE
BayStudy,215,-122.4242,37.888,NA,NA,NA,TRUE,TRUE
BayStudy,345,-122.4242,37.9975,NA,NA,very deep,TRUE,TRUE
BayStudy,322,-122.4138,38.053,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,324,-122.412,37.9825,NA,NA,intermediate,TRUE,TRUE
BayStudy,317,-122.4090333,37.98901667,NA,NA,deep,TRUE,TRUE
BayStudy,214,-122.4016667,37.86566667,NA,NA,NA,TRUE,TRUE
BayStudy,243,-122.4012,37.8842,NA,NA,NA,TRUE,TRUE
BayStudy,211,-122.3880333,37.84473333,NA,NA,NA,TRUE,TRUE
BayStudy,325,-122.3717,38.03,Far West,Mid San Pablo Bay,very deep,TRUE,TRUE
BayStudy,321,-122.3675,38.0662,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,106,-122.3667,37.702,NA,NA,NA,TRUE,TRUE
BayStudy,110,-122.3561833,37.78818333,NA,NA,NA,TRUE,TRUE
BayStudy,109,-122.3533,37.7392,NA,NA,NA,TRUE,TRUE
BayStudy,212,-122.3527,37.8545,NA,NA,NA,TRUE,TRUE
BayStudy,318,-122.345,38.0213,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,108,-122.3297,37.6758,NA,NA,NA,TRUE,TRUE
BayStudy,320,-122.3171667,38.06266667,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,142,-122.3053333,37.76183333,NA,NA,NA,TRUE,TRUE
BayStudy,103,-122.3028,37.6033,NA,NA,NA,TRUE,TRUE
BayStudy,346,-122.3,38.0555,Far West,East San Pablo Bay,very deep,TRUE,TRUE
BayStudy,107,-122.2858,37.605,NA,NA,NA,TRUE,TRUE
BayStudy,319,-122.2855,38.0403,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,326,-122.2855,38.04033333,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
BayStudy,105,-122.2708,37.7195,NA,NA,NA,TRUE,TRUE
BayStudy,141,-122.2666667,37.65,NA,NA,NA,TRUE,TRUE
BayStudy,104,-122.2367,37.6797,NA,NA,NA,TRUE,TRUE
BayStudy,102,-122.2083,37.5833,NA,NA,NA,TRUE,TRUE
BayStudy,447,-122.1783333,38.05591667,Far West,Carquinez Strait,deep,TRUE,TRUE
BayStudy,101,-122.1662667,37.5355,NA,NA,NA,TRUE,TRUE
BayStudy,427,-122.1522,38.0355,Far West,Carquinez Strait,very deep,TRUE,TRUE
BayStudy,140,-122.1161833,37.50185,NA,NA,NA,TRUE,TRUE
BayStudy,432,-122.108,38.0425,Far West,West Suisun Bay,deep,TRUE,TRUE
BayStudy,428,-122.1053,38.062,Far West,West Suisun Bay,very deep,TRUE,TRUE
BayStudy,429,-122.0768333,38.08583333,Far West,West Suisun Bay,deep,TRUE,TRUE
BayStudy,430,-122.055,38.1082,West,Mid Suisun Bay,intermediate,TRUE,TRUE
BayStudy,431,-122.028,38.1052,West,Mid Suisun Bay,intermediate,TRUE,TRUE
BayStudy,433,-121.9828167,38.06011667,West,Mid Suisun Bay,very deep,TRUE,TRUE
BayStudy,534,-121.9562,38.07145,West,Honker Bay,deep,TRUE,TRUE
BayStudy,535,-121.9176667,38.04731667,West,Honker Bay,very deep,TRUE,TRUE
BayStudy,736,-121.8043333,38.06033333,West,Lower Sacramento River,very deep,TRUE,TRUE
BayStudy,837,-121.76,38.0245,West,Lower San Joaquin River,deep,TRUE,TRUE
BayStudy,750,-121.75,38.08466667,West,Lower Sacramento River,deep,TRUE,TRUE
BayStudy,853,-121.737,38.0285,West,Lower San Joaquin River,very deep,TRUE,TRUE
BayStudy,751,-121.717,38.1055,North,Sacramento River near Rio Vista,deep,TRUE,TRUE
BayStudy,752,-121.7125,38.1042,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
BayStudy,760,-121.6848333,38.15233333,North,Sacramento River near Rio Vista,deep,TRUE,TRUE
BayStudy,761,-121.6771667,38.16783333,North,Sacramento River near Rio Vista,very deep,TRUE,TRUE
BayStudy,762,-121.657,38.175,North,Sacramento River near Ryde,deep,TRUE,TRUE
BayStudy,863,-121.6511,38.09145,South,San Joaquin River at Twitchell Island,intermediate,TRUE,TRUE
BayStudy,864,-121.598,38.10116667,South,San Joaquin River at Prisoners Pt,very deep,TRUE,TRUE
BayStudy,865,-121.5763333,38.08666667,South,San Joaquin River at Prisoners Pt,deep,TRUE,TRUE
CDFW_5_Surveys,101,-122.3125,37.67917,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,102,-122.31306,37.69361,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,103,-122.25972,37.59028,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,104,-122.28472,37.60556,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,105,-122.30111,37.62444,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,106,-122.31389,37.64583,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,107,-122.32611,37.66806,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,108,-122.33889,37.69167,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,109,-122.33944,37.71167,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,110,-122.34528,37.73333,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,111,-122.35083,37.75417,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,112,-122.36111,37.78583,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,113,-122.35833,37.67917,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,201,-122.42139,37.81861,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,202,-122.44722,37.84722,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,203,-122.46972,37.85778,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,204,-122.39639,37.83417,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,205,-122.35833,37.82778,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,206,-122.34111,37.84389,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,207,-122.345,37.87,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,208,-122.39861,37.86528,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,209,-122.42222,37.88972,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,210,-122.44,37.92139,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,211,-122.44583,37.94028,NA,NA,NA,TRUE,TRUE
CDFW_5_Surveys,301,-122.41197,37.98031,NA,NA,intermediate,TRUE,TRUE
CDFW_5_Surveys,302,-122.375,38.01389,Far West,Mid San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,303,-122.425,37.97219,NA,NA,deep,TRUE,TRUE
CDFW_5_Surveys,304,-122.436,37.99581,NA,NA,very deep,TRUE,TRUE
CDFW_5_Surveys,305,-122.4086,37.9987,NA,NA,very deep,TRUE,TRUE
CDFW_5_Surveys,306,-122.41488,38.00042,NA,NA,very deep,TRUE,TRUE
CDFW_5_Surveys,307,-122.4192,38.00472,NA,NA,very deep,TRUE,TRUE
CDFW_5_Surveys,308,-122.40438,38.01745,NA,NA,very deep,TRUE,TRUE
CDFW_5_Surveys,309,-122.39387,38.01442,Far West,Mid San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,310,-122.37355,38.0297,Far West,Mid San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,311,-122.37743,38.02087,Far West,Mid San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,312,-122.432,38.01189,NA,NA,deep,TRUE,TRUE
CDFW_5_Surveys,313,-122.449,38.02219,NA,NA,intermediate,TRUE,TRUE
CDFW_5_Surveys,314,-122.41167,38.02812,Far West,Mid San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,315,-122.3936,38.03815,Far West,Mid San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,316,-122.427,38.06669,NA,NA,intermediate,TRUE,TRUE
CDFW_5_Surveys,317,-122.449,37.99831,NA,NA,deep,TRUE,TRUE
CDFW_5_Surveys,318,-122.431,38.05,NA,NA,intermediate,TRUE,TRUE
CDFW_5_Surveys,319,-122.432,38.0775,NA,NA,intermediate,TRUE,TRUE
CDFW_5_Surveys,320,-122.305,38.02361,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,321,-122.36103,38.03612,Far West,Mid San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,322,-122.35078,38.02363,Far West,Mid San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,323,-122.2847965,38.04522434,Far West,East San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,323.1,-122.32817,38.02853,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,324,-122.319,38.05281,Far West,East San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,325,-122.2955,38.05605,Far West,East San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,326,-122.29592,38.04038,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,327,-122.36672,38.04772,Far West,Mid San Pablo Bay,deep,TRUE,TRUE
CDFW_5_Surveys,328,-122.3487722,38.06010696,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,329,-122.305483,38.06322372,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,330,-122.4117083,38.05213419,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,331,-122.394,38.06531,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,332,-122.392,38.07331,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,333,-122.357,38.07311,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,334,-122.3390148,38.07573357,Far West,Mid San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,335,-122.3242455,38.07061094,Far West,East San Pablo Bay,intermediate,TRUE,TRUE
CDFW_5_Surveys,336,-122.2785809,38.06237582,Far West,East San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,337,-122.27232,38.0595,Far West,East San Pablo Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,338,-122.24892,38.06003,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,339,-122.2568,38.0667,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,340,-122.2645616,38.10016844,Far West,Lower Napa River,deep,TRUE,TRUE
CDFW_5_Surveys,341,-122.2801582,38.12824971,Far West,Lower Napa River,deep,TRUE,TRUE
CDFW_5_Surveys,342,-122.288557,38.14622953,Far West,Lower Napa River,deep,TRUE,TRUE
CDFW_5_Surveys,343,-122.3093659,38.1825403,Far West,Lower Napa River,intermediate,TRUE,TRUE
CDFW_5_Surveys,344,-122.3086132,38.21268263,Far West,Upper Napa River,shallow,TRUE,TRUE
CDFW_5_Surveys,345,-122.3080635,38.22427835,Far West,Upper Napa River,NA,TRUE,TRUE
CDFW_5_Surveys,346,-122.2870586,38.23665995,Far West,Upper Napa River,shallow,TRUE,TRUE
CDFW_5_Surveys,347,-122.2838921,38.25443088,Far West,Upper Napa River,shallow,TRUE,TRUE
CDFW_5_Surveys,348,-122.2843173,38.27345322,Far West,Upper Napa River,shallow,TRUE,TRUE
CDFW_5_Surveys,349,-122.283688,38.28619872,Far West,Upper Napa River,NA,TRUE,TRUE
CDFW_5_Surveys,401,-122.21245,38.05758,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,401.1,-122.06828,38.06117,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,402,-122.183,38.05561,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,403,-122.17192,38.04883,Far West,Carquinez Strait,deep,TRUE,TRUE
CDFW_5_Surveys,404,-122.17887,38.04645,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,405,-122.1486435,38.03980365,Far West,Carquinez Strait,deep,TRUE,TRUE
CDFW_5_Surveys,405.1,-122.15815,38.03353,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,406,-122.15057,38.028,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,407,-122.14515,38.03298,Far West,Carquinez Strait,very deep,TRUE,TRUE
CDFW_5_Surveys,408,-122.12897,38.03513,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,409,-122.10637,38.04455,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,410,-122.09647,38.04883,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,411,-122.0798673,38.050756,Far West,West Suisun Bay,deep,TRUE,TRUE
CDFW_5_Surveys,412,-122.06007,38.06462,Far West,West Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,413,-122.0473,38.06595,West,Mid Suisun Bay,very deep,TRUE,TRUE
CDFW_5_Surveys,414,-122.11128,38.05213,Far West,West Suisun Bay,very deep,TRUE,TRUE
