Station,Station_Latitude,Station_Longitude
323,38.04288889,-122.2863056
340,38.09922222,-122.2632778
342,38.14625,-122.28875
343,38.18236111,-122.3092778
344,38.21269444,-122.3086944
345,38.22383333,-122.3089722
346,38.23638889,-122.2871667
405,38.03991667,-122.1467222
411,38.05022222,-122.0765278
418,38.0675,-122.0955556
501,38.07333333,-122.0263333
504,38.05194444,-121.9860833
508,38.04716667,-121.9172222
513,38.05886111,-121.86775
519,38.07475,-121.9580833
520,38.03216667,-121.8631111
602,38.11555556,-122.0423917
606,38.17058333,-122.0279167
609,38.16708333,-121.9378333
610,38.12219444,-121.8891111
703,38.04861111,-121.7973889
704,38.06658333,-121.7903111
705,38.09761111,-121.70875
706,38.08608333,-121.7504444
707,38.11469444,-121.7078611
711,38.17741667,-121.66225
716,38.23855556,-121.6839167
718,38.25755556,-121.7290278
719,38.3335,-121.6475
720,38.26263889,-121.7792778
723,38.23725,-121.6730833
724,38.25625,-121.6520833
726,38.28305556,-121.6438333
801,38.04369444,-121.844
804,38.01644444,-121.7913056
809,38.05377778,-121.6930278
812,38.08991667,-121.6399167
815,38.08713889,-121.5711389
901,38.04625,-121.6185
902,38.02038889,-121.5826667
906,38.05002778,-121.5064722
910,38.005,-121.4530278
912,37.96641667,-121.3685556
914,37.9715,-121.52
915,37.94427778,-121.5678889
918,37.859,-121.5671389
919,38.10519444,-121.4945833
