GearID,TowID,GearCode,MeterSerial,MeterStart,MeterEnd,MeterCheck,Comments
1,88,2,10369,864217,883576,19359,
2,198,2,10369,95192,122743,27551,
3,303,2,10369,848963,872525,23562,
4,405,2,10369,50573,72134,21561,
5,495,2,10369,116784,138169,21385,
6,591,2,10369,264955,286122,21167,
7,708,2,11732,169638,191739,22101,
8,801,2,11732,606946,630321,23375,
9,952,2,13287,154919,177793,22874,
10,1073,2,13287,784769,800820,16051,
11,1226,2,13287,26527,47668,21141,
12,1347,2,13287,648139,668408,20269,
13,1555,2,13287,910832,934229,23397,
14,1661,2,13287,862702,887282,24580,
15,1779,2,13287,520265,543118,22853,
16,1967,2,13327,676299,696064,19765,
17,2079,2,13327,174282,194660,20378,
18,2187,2,13327,160856,180386,19530,
19,2395,2,13327,888654,908572,19918,
20,2485,2,13327,517363,537794,20431,
21,2629,2,13327,186479,205438,18959,
22,2731,2,13327,815617,833920,18303,
23,2828,2,14958,998636,16762,18126,
24,3018,2,14958,287792,308350,20558,
25,3124,2,14958,218532,234631,16099,
26,3252,2,14958,713413,728171,14758,
27,3486,2,14958,363312,381523,18211,
28,3588,2,13327,263388,285227,21839,
29,3701,2,13327,771695,793028,21333,
30,3793,2,14977,7840,26278,18438,
31,4014,2,6150,711388,730839,19451,
32,4256,2,6150,497454,517772,20318,
33,4390,2,6150,5639,24694,19055,
34,4512,2,6150,129726,152725,22999,
35,4646,2,6150,772490,795048,22558,
36,4768,2,14982,81518,98775,17257,
37,4877,2,14982,632295,652991,20696,
38,4982,2,14982,410510,430818,20308,
39,5102,2,14982,160485,180048,19563,
40,5259,2,14982,484840,505571,20731,
41,5445,2,14982,603030,621260,18230,
42,5650,2,14979,499474,519412,19938,
43,5763,2,14979,190279,208029,17750,
44,5879,2,14979,756111,776095,19984,
45,6017,2,12945,82145,103822,21677,
46,6144,2,12945,783111,803950,20839,
47,6276,2,12945,269065,290179,21114,
48,6523,2,12945,878515,899392,20877,
49,6642,2,12945,544385,564114,19729,
50,6766,2,12945,826840,847354,20514,
51,6883,2,13291,140134,161027,20893,
52,7026,2,9794,742324,762621,20297,
53,7148,2,9794,444760,464788,20028,
54,7272,2,9794,183239,204550,21311,
55,7396,2,9794,844690,864340,19650,
56,7524,2,9794,553790,574410,20620,
57,7643,2,9794,93940,114967,21027,
58,7979,2,12441,276462,302866,26404,
59,8096,2,12441,41993,64025,22032,
60,8219,2,12441,749018,772956,23938,
61,8333,2,12441,446023,468142,22119,
62,8466,2,12441,344095,365566,21471,
63,8704,2,14982,393810,415910,22100,
64,9011,2,12994,646784,670228,23444,
65,9150,2,12994,532923,554279,21356,
66,9276,2,12994,362825,384942,22117,
67,9393,2,12994,110714,136689,25975,
68,9615,2,16976,168156,190567,22411,
69,9733,2,16976,220885,246560,25675,
70,9835,2,14979,655181,677996,22815,
71,9976,2,14979,86553,111975,25422,
72,10095,2,14979,978172,3758,25586,
73,10225,2,14979,218700,232874,14174,
74,10343,2,12994,191678,215324,23646,
75,10458,2,14958,852108,873656,21548,
76,10586,2,14958,837761,859847,22086,
77,10923,2,14977,116270,135922,19652,
78,11056,2,19299,901556,912702,11146,
79,11193,2,14977,944700,969405,24705,
80,11304,2,14977,753588,766489,12901,
81,11441,2,14977,281117,302464,21347,
82,11586,2,14977,528630,551236,22606,
83,11694,2,19296,674560,699495,24935,
84,11846,2,19296,605732,627869,22137,
85,11999,2,19296,171545,194430,22885,
86,12216,2,12441,371507,394202,22695,
87,12339,2,12441,399820,427739,27919,
88,12461,2,12441,0,21303,21303,
89,12573,2,12441,0,21303,21303,
90,12676,2,21920,392734,415534,22800,
91,12808,2,21920,252056,270786,18730,
92,12931,2,21920,983259,999967,16708,
93,13047,2,14958,392414,416035,23621,
94,13210,2,21920,204086,225696,21610,
95,13359,2,21920,43746,65196,21450,
96,13492,2,21920,119860,141523,21663,
97,13634,2,14979,652667,676409,23742,
98,13922,2,14977,734000,755641,21641,
99,14103,2,14977,819813,840831,21018,
100,14224,2,14977,952699,973410,20711,
101,14385,2,21920,26406,48868,22462,
102,14500,2,23286,996345,20024,23679,
103,14768,2,21920,332932,354575,21643,
104,14890,2,23286,863505,888578,25073,
105,14997,2,23286,215810,242907,27097,
106,15123,2,23286,354289,376763,22474,
107,15278,2,21920,607255,628524,21269,
108,15415,2,23286,188738,210915,22177,
109,15547,2,23749,37630,59966,22336,
110,15672,2,23749,938386,959369,20983,
111,15835,2,23813,178723,202247,23524,
112,16004,2,23749,100122,119965,19843,
113,16117,2,23813,474972,495971,20999,
114,16256,2,23813,86200,108701,22501,
115,16394,2,23813,749837,770402,20565,
116,16542,2,22865,40935,62978,22043,
117,16750,2,24596,575553,597677,22124,
118,16859,2,24584,727045,750058,23013,
119,16986,2,24584,281095,303630,22535,
120,17028,2,24584,73670,96966,23296,
121,17228,2,24584,977847,838,22991,
122,17430,2,24596,90590,112040,21450,
123,17569,2,24596,814920,837869,22949,
124,17711,2,24596,665171,689736,24565,
125,17850,2,24596,574240,600303,26063,
126,17988,2,24653,59557,82857,23300,
127,18137,2,24648,248049,271697,23648,
128,18275,2,24648,26520,48906,22386,
129,18415,2,24648,881297,903085,21788,
130,18556,2,24648,653846,676801,22955,
131,18682,2,24648,131579,154008,22429,
