SurveyID,SampleDate,Survey,Comments
1,1995-04-24,1,
2,1995-04-25,1,
3,1995-04-26,1,
4,1995-04-27,1,
5,1995-04-28,1,
6,1995-05-08,2,
7,1995-05-09,2,
8,1995-05-10,2,
9,1995-05-11,2,
10,1995-05-12,2,
11,1995-05-22,3,
12,1995-05-23,3,
13,1995-05-24,3,
14,1995-05-25,3,
15,1995-05-26,3,
16,1995-06-05,4,
17,1995-06-06,4,
18,1995-06-07,4,
19,1995-06-08,4,
20,1995-06-09,4,
21,1995-06-19,5,
22,1995-06-20,5,
23,1995-06-21,5,
24,1995-06-22,5,
25,1995-06-23,5,
26,1995-06-24,5,
27,1995-07-03,6,
28,1995-07-04,6,
29,1995-07-05,6,
30,1995-07-06,6,
31,1995-07-07,6,
32,1995-07-10,6,
33,1995-07-17,7,
34,1995-07-18,7,
35,1995-07-19,7,
36,1995-07-20,7,
37,1995-07-21,7,
38,1995-07-24,7,
39,1995-07-31,8,
40,1995-08-01,8,
41,1995-08-03,8,
42,1995-08-04,8,
43,1995-08-07,8,
44,1995-08-08,8,
45,1996-04-10,1,
46,1996-04-11,1,
47,1996-04-12,1,
48,1996-04-13,1,
49,1996-04-14,1,
50,1996-04-16,1,
51,1996-04-17,1,
52,1996-04-24,2,
53,1996-04-25,2,
54,1996-04-26,2,
55,1996-04-27,2,
56,1996-04-28,2,
57,1996-04-29,2,
58,1996-04-30,2,
59,1996-05-09,3,
60,1996-05-10,3,
61,1996-05-11,3,
62,1996-05-12,3,
63,1996-05-13,3,
64,1996-05-14,3,
65,1996-05-21,4,
66,1996-05-22,4,
67,1996-05-23,4,
68,1996-05-24,4,
69,1996-05-28,4,
70,1996-05-29,4,
71,1996-06-08,5,
72,1996-06-09,5,
73,1996-06-10,5,
74,1996-06-11,5,
75,1996-06-13,5,
76,1996-06-14,5,
77,1996-06-24,6,
78,1996-06-25,6,
79,1996-06-26,6,
80,1996-06-27,6,
81,1996-06-28,6,
82,1996-06-29,6,
83,1996-07-08,7,
84,1996-07-09,7,
85,1996-07-10,7,
86,1996-07-11,7,
87,1996-07-12,7,
88,1996-07-13,7,
89,1996-07-22,8,
90,1996-07-23,8,
91,1996-07-24,8,
92,1996-07-25,8,
93,1996-07-26,8,
94,1996-07-27,8,
95,1997-03-31,1,
96,1997-04-01,1,
98,1997-04-03,1,
99,1997-04-04,1,
100,1997-04-05,1,
101,1997-04-14,2,
102,1997-04-15,2,
103,1997-04-16,2,
104,1997-04-17,2,
105,1997-04-18,2,
106,1997-04-19,2,
107,1997-04-28,3,
108,1997-04-29,3,
109,1997-04-30,3,
110,1997-05-01,3,
111,1997-05-02,3,
112,1997-05-03,3,
113,1997-05-12,4,
114,1997-05-13,4,
115,1997-05-14,4,
116,1997-05-15,4,
117,1997-05-16,4,
