WaterYear,SacWinter,SacSummer,SacTotal,SacIndex,SacWYType,SJWinter,SJSummer,SJTotal,SJIndex,SJWYType,Dec8Riv,Jan8Riv,Feb8Riv,Mar8Riv,Apr8Riv,May8Riv
1959,7.4,3.84,12.05,6.75,BN,0.98,1.85,2.98,2.21,D,0.58,2.25,2.5,1.98,2.27,1.82
1960,7.72,4.65,13.06,6.2,D,0.85,2.07,2.96,1.85,C,0.47,0.9,3.15,3.22,2.5,2.39
1961,6.87,4.39,11.97,5.68,D,0.54,1.5,2.1,1.38,C,1.36,0.86,2.14,1.93,2.02,2.16
1962,8.17,6.23,15.11,6.65,BN,1.26,4.24,5.61,3.07,BN,1.19,0.78,4.08,2.39,3.89,3.14
1963,12.01,10.09,22.99,9.63,W,1.68,4.37,6.24,3.57,AN,1.9,1.7,4.66,2.1,5.6,4.99
1964,5.9,4.37,10.92,6.41,D,0.93,2.14,3.14,2.19,D,0.85,1.55,1.01,1.15,1.92,2.44
1965,16.59,8.13,25.64,10.15,W,3.2,4.55,8.13,3.81,W,8.66,5.61,2.26,1.97,4.74,3.81
1966,7.42,4.84,12.95,7.16,BN,1.49,2.42,3.98,2.51,BN,1.04,1.85,1.56,2.52,3.33,2.52
1967,12.14,11.01,24.06,10.2,W,2.46,7.09,9.98,5.25,W,2.98,3.34,2.52,4.09,3.82,6.26
1968,8.66,4.12,13.64,7.24,BN,1.02,1.85,2.94,2.21,D,0.85,1.49,3.71,2.55,2.17,2.15
1969,15.33,10.68,26.98,11.05,W,3.84,8.14,12.29,6.09,W,1.77,7.91,4.73,3.36,5.44,7.34
1970,18.87,4.35,24.06,10.4,W,2.55,2.96,5.61,3.18,AN,3.3,10.68,3.02,3.12,1.82,2.77
1971,12.71,8.9,22.57,10.37,W,1.56,3.23,4.91,2.89,BN,3.26,3.05,1.83,3.73,3.4,4.18
1972,7.61,5.02,13.43,7.29,BN,1.25,2.22,3.57,2.16,D,1.19,1.4,1.73,3.3,2.52,2.61
1973,12.8,6.38,20.05,8.58,AN,1.87,4.48,6.47,3.5,AN,1.83,4.08,3.66,3.27,3.08,4.76
1974,21.69,9.78,32.5,12.99,W,2.43,4.53,7.12,3.9,W,3.68,6.93,2.1,6.18,5.07,4.69
1975,9.24,8.95,19.23,9.35,W,1.37,4.65,6.18,3.85,W,0.86,1.01,2.92,4.65,2.89,5.4
1976,4.63,2.75,8.2,5.29,C,0.78,1.07,1.97,1.57,C,0.76,0.65,0.88,1.34,1.35,1.44
1977,2.49,1.93,5.12,3.11,C,0.22,0.8,1.05,0.84,C,0.38,0.47,0.48,0.54,0.69,0.91
1978,14.9,8.12,23.92,8.65,AN,2.57,6.5,9.65,4.58,W,1.9,5.91,3.48,5.36,4.4,4.7
1979,6.06,5.64,12.41,6.67,BN,1.87,3.99,5.98,3.67,AN,0.53,1.44,2.1,2.9,2.67,4.5
1980,15.49,6,22.33,9.04,AN,3.74,5.41,9.47,4.73,W,1.24,6.89,5.93,3.62,3.11,3.67
1981,6.81,3.63,11.1,6.21,D,0.85,2.29,3.22,2.44,D,0.92,1.57,1.76,2.48,2.32,2.11
1982,20.56,11.82,33.41,12.76,W,3.78,7,11.41,5.45,W,5.58,3.5,5.57,4.74,8.05,5.68
1983,22.75,13.66,37.68,15.29,W,5.42,8.73,15.01,7.22,W,3.69,4.25,6.46,10.57,4.87,6.96
1984,15.98,5.52,22.35,10,W,3.51,3.48,7.13,3.69,AN,6.72,2.85,2.29,3.08,2.5,3.6
1985,6.24,4,11.04,6.47,D,1.11,2.41,3.6,2.4,D,1.2,0.84,1.21,1.59,2.79,2.14
1986,19.45,5.45,25.83,9.96,W,4.36,4.92,9.5,4.31,W,1.25,2.62,11.55,7.09,3.19,3.56
1987,5.85,2.8,9.27,5.86,D,0.55,1.48,2.08,1.86,C,0.53,0.78,1.48,2.6,1.73,1.48
1988,5.78,2.9,9.23,4.65,C,0.86,1.55,2.48,1.48,C,1.7,1.84,1.01,1.26,1.48,1.59
