Year,Month,Date,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORT,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVE,EFFECT,EFFD
1955,10,10/1/1955,7940,22,0,199,0,635,834,8796,65,0,1721,0,1786,2150,0,0,2150,4416,2067,2944,4860,0.2,45,8161,40
1955,10,10/2/1955,7970,21,0,57,0,702,759,8750,66,0,1721,0,1787,2100,0,0,2100,4425,2032,2978,4863,0.2,44,8048,40
1955,10,10/3/1955,8040,19,0,25,0,718,743,8802,74,0,1722,0,1796,2050,0,0,2050,4445,2060,3040,4956,0.2,44,8084,39
1955,10,10/4/1955,7870,19,0,118,0,660,778,8667,88,0,1722,0,1810,2050,0,0,2050,4395,2031,2920,4807,0.2,45,8007,40
1955,10,10/5/1955,7900,17,0,182,0,615,797,8714,67,0,1718,0,1785,2000,0,0,2000,4404,2116,2953,4929,0.2,43,8099,39
1955,10,10/6/1955,7860,15,0,190,0,635,825,8700,62,0,1692,0,1754,2000,0,0,2000,4392,2163,2923,4946,0.19,43,8065,39
1955,10,10/7/1955,7770,15,0,206,0,650,856,8641,65,0,1833,0,1898,1950,0,0,1950,4366,2057,2873,4793,0.21,45,7991,40
1955,10,10/8/1955,7890,14,0,204,0,660,864,8768,71,0,1835,0,1906,1950,0,0,1950,4401,2092,2957,4912,0.21,44,8108,39
1955,10,10/9/1955,8100,14,0,66,0,685,751,8865,65,0,1831,0,1896,1950,0,0,1950,4463,2051,3105,5019,0.21,43,8180,39
1955,10,10/10/1955,8130,14,0,30,0,724,754,8898,68,0,1841,0,1909,1900,0,0,1900,4472,2082,3140,5089,0.21,43,8174,38
1955,10,10/11/1955,8010,12,0,127,0,762,889,8911,61,0,1421,0,1482,1900,310,0,1590,4436,2810,3141,5839,0.16,34,8149,28
1955,10,10/12/1955,8170,13,0,196,0,773,969,9152,64,0,1320,0,1384,1900,310,0,1590,4483,3035,3255,6178,0.14,32,8379,26
1955,10,10/13/1955,8690,12,0,218,0,718,936,9638,64,0,1322,0,1386,1900,310,0,1590,4636,3153,3621,6662,0.14,31,8920,25
1955,10,10/14/1955,8690,11,0,234,0,685,919,9620,59,0,1324,0,1383,1850,310,0,1540,4636,3171,3634,6697,0.14,30,8935,25
