Site_Id,Species,Fish_Length,Clipped
TPS0690.2020,American_Shad,91,
TPS0688.2020,American_Shad,100,
TPS0688.2020,American_Shad,96,
TPS0688.2020,American_Shad,88,
TPS0361.2020,American_Shad,87,
TPS0688.2020,American_Shad,105,
TPS0360.2020,American_Shad,78,
TPS0360.2020,American_Shad,90,
TPS0360.2020,American_Shad,93,
TPS0360.2020,American_Shad,89,
TPS0360.2020,American_Shad,90,
TPS0360.2020,American_Shad,84,
TPS0360.2020,American_Shad,84,
TPS0565.2019,American_Shad,68,
TPS0360.2020,American_Shad,86,
TPS0688.2020,American_Shad,91,
TPS0688.2020,American_Shad,108,
TPS0207.2018,American_Shad,119,
TPS0360.2020,American_Shad,87,
TPS0360.2020,American_Shad,93,
TPS0571.2019,American_Shad,119,
TPS0571.2019,American_Shad,122,
TPS0359.2020,American_Shad,79,
TPS0359.2020,American_Shad,90,
TPS0359.2020,American_Shad,66,
TPS0688.2020,American_Shad,102,
TPS0688.2020,American_Shad,93,
TPS0237.2020,American_Shad,90,
TPS0575.2020,American_Shad,84,
TPS0575.2020,American_Shad,84,
TPS0575.2020,American_Shad,117,
TPS0575.2020,American_Shad,86,
TPS0575.2020,American_Shad,85,
TPS0119.2018,American_Shad,97,
TPS0164.2018,American_Shad,96,
TPS0164.2018,American_Shad,101,
TPS0164.2018,American_Shad,101,
TPS0164.2018,American_Shad,102,
TPS0164.2018,American_Shad,103,
TPS0164.2018,American_Shad,111,
TPS0120.2018,American_Shad,72,
TPS1641.2020,American_Shad,71,
TPS0766.2020,American_Shad,83,
TPS0766.2020,American_Shad,96,
TPS0766.2020,American_Shad,103,
TPS0766.2020,American_Shad,110,
TPS0766.2020,American_Shad,99,
TPS0766.2020,American_Shad,99,
TPS0766.2020,American_Shad,100,
TPS0766.2020,American_Shad,93,
TPS0766.2020,American_Shad,114,
TPS0766.2020,American_Shad,99,
TPS0757.2020,American_Shad,85,
TPS0757.2020,American_Shad,90,
TPS0757.2020,American_Shad,99,
TPS0757.2020,American_Shad,91,
TPS0567.2020,American_Shad,80,
TPS0567.2020,American_Shad,75,
TPS0566.2020,American_Shad,92,
TPS0566.2020,American_Shad,91,
TPS0566.2020,American_Shad,90,
TPS0757.2020,American_Shad,95,
TPS0757.2020,American_Shad,101,
TPS0757.2020,American_Shad,97,
TPS0757.2020,American_Shad,105,
TPS0751.2020,American_Shad,90,
TPS0751.2020,American_Shad,104,
TPS0126.2020,American_Shad,84,
TPS0126.2020,American_Shad,88,
TPS0750.2020b,American_Shad,104,
TPS0126.2020,American_Shad,84,
TPS0232.2019,American_Shad,105,
TPS0750.2020a,American_Shad,92,
TPS0750.2020a,American_Shad,95,
TPS0750.2020a,American_Shad,100,
TPS0750.2020a,American_Shad,93,
TPS0750.2020a,American_Shad,100,
TPS0172.2018,American_Shad,99,
TPS0172.2018,American_Shad,101,
TPS0232.2019,American_Shad,104,
TPS0127.2018,American_Shad,72,
TPS0127.2018,American_Shad,91,
TPS0394.2019,American_Shad,105,
TPS0531.2020,American_Shad,90,
TPS0403.2019,American_Shad,64,
TPS0750.2020a,American_Shad,93,
TPS0750.2020a,American_Shad,99,
TPS0130.2018,American_Shad,104,
TPS0750.2020a,American_Shad,94,
TPS0750.2020a,American_Shad,96,
TPS0510.2020,American_Shad,115,
TPS0510.2020,American_Shad,81,
TPS0509.2020,American_Shad,96,
TPS0509.2020,American_Shad,73,
TPS0509.2020,American_Shad,85,
TPS0509.2020,American_Shad,84,
TPS0509.2020,American_Shad,105,
TPS0509.2020,American_Shad,89,
TPS0509.2020,American_Shad,91,
TPS0509.2020,American_Shad,88,
TPS0509.2020,American_Shad,90,
TPS0509.2020,American_Shad,90,
TPS0750.2020a,American_Shad,94,
TPS0232.2019,American_Shad,101,
TPS0126.2020,American_Shad,87,
TPS0473.2020,American_Shad,83,
TPS0473.2020,American_Shad,89,
TPS0175.2018,American_Shad,122,
TPS0473.2020,American_Shad,94,
TPS0473.2020,American_Shad,102,
TPS0473.2020,American_Shad,85,
TPS0473.2020,American_Shad,80,
TPS0126.2020,American_Shad,83,
TPS0473.2020,American_Shad,94,
TPS0473.2020,American_Shad,79,
TPS0473.2020,American_Shad,106,
TPS0388.2019,American_Shad,112,
TPS0133.2018,American_Shad,80,
TPS0133.2018,American_Shad,87,
TPS0133.2018,American_Shad,88,
TPS0126.2020,American_Shad,90,
TPS0126.2020,American_Shad,80,
TPS0126.2020,American_Shad,104,
TPS0403.2019,American_Shad,74,
TPS0403.2019,American_Shad,76,
TPS0133.2018,American_Shad,91,
TPS0133.2018,American_Shad,94,
TPS0472.2020,American_Shad,94,
TPS0472.2020,American_Shad,90,
TPS0403.2019,American_Shad,85,
TPS0471.2020,American_Shad,91,
TPS0471.2020,American_Shad,91,
TPS0471.2020,American_Shad,91,
TPS0471.2020,American_Shad,94,
TPS0471.2020,American_Shad,93,
TPS0471.2020,American_Shad,99,
TPS0471.2020,American_Shad,102,
TPS0470.2020,American_Shad,85,
