Site_Id,Date,Time,Water_Year,Latitude,Longitude,Region,Habitat,Tide,Temperature,Dissolved_Oxygen,Specific_Conductivity,Salinity,pH,Turbidity,Chlorophyll,Secchi,Fish_Net,Flowmeter_Change,K_Value,Flowmeter_Distance,Net_Mouth_Area,FishTowVolume,Adj_FishTowVolume,Start_Depth,End_Depth,American_Shad,Black_Bullhead,Black_Crappie,Bluegill_Sunfish,Brown_Bullhead,Chinook_Salmon,Common_Carp,Delta_Smelt,Goby_UNID,Golden_Shiner,Goldfish,Inland_Silverside,Jacksmelt,Largemouth_Bass,Longfin_Smelt,Minnow_UNID,Northern_Anchovy,Osmerid_UNID,Pacific_Herring,Pacific_Staghorn_Sculpin,Prickly_Sculpin,Rainwater_Killifish,Redear_Sunfish,Sacramento_Hitch,Sacramento_Pikeminnow,Sacramento_Splittail,Sacramento_Sucker,Shimofuri_Goby,Shokihaze_Goby,Starry_Flounder,Steelhead,Striped_Bass,Threadfin_Shad,Threespine_Stickleback,Tule_Perch,Wakasagi,Warmouth,Yellowfin_Goby
TPS9999.2020b,2021-10-05,14:50,2020,38.077365,-121.940513,SuisunEast,Shoal,Late Flood,20.44,8.46,4610,2.47,8.6,18.98,1.71,36,Mamou,9358,0.026873,251.477534,6.057,1523.199423,1523.199423,8,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS9999.2020a,2021-09-05,11:06,2020,38.089343,-122.038829,SuisunWest,Shoal,Early Flood,19.83,8.45,11321,6.51,8.3,17.06,2.2,45,Mamou,31971,0.026873,859.156683,6.057,5203.912029,5203.912029,6,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0751.2020,2020-05-03,14:11,2020,38.113904,-122.000907,SuisunWest,Shoal,Late Ebb,14,9.83,11752,6.75,8.2,65.1,5.71,20,Mamou,22766,0.026873,611.790718,6.057,3705.616379,3705.616379,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0750.2020b,2020-05-03,13:31,2020,38.120278,-122.042149,SuisunWest,Shoal,Early Ebb,14.4,9.83,10921,6.22,8.4,23.17,3.36,27,Mamou,18011,0.026873,484.009603,6.057,2931.646165,2931.646165,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0693.2020,2020-05-03,12:37,2020,38.117719,-122.097366,SuisunWest,Terminal,Early Ebb,15.26,6.48,8536,4.79,7.6,30.21,8.33,30,Mamou,12418,0.026873,333.708914,6.057,2021.274892,2021.274892,10,13,1,,,,,,,,,,,5,,,,,,,,,,,,,,3,1,,,,,,,5,,,,
TPS0692.2020,2020-05-03,11:11,2020,38.08771,-122.014111,SuisunWest,Distributary,Early Ebb,13.85,9.39,16447,9.69,7.9,19.53,2.02,45,Mamou,21115,0.026873,567.423395,6.057,3436.883504,3436.883504,9,7,,,,,,,,,,,,12,,,,,,,,,,,,,,1,,,,,,,,,,,,
TPS0682.2020,2020-05-03,9:57,2020,38.038094,-121.80132,SuisunEast,Terminal,Late Flood,13.34,9.79,364,0.17,7.8,3.28,1.18,130,Mamou,15671,0.026873,421.126783,6.057,2550.764925,2550.764925,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0680.2020,2020-05-03,9:18,2020,38.03998,-121.788556,SuisunEast,Shoal,Late Flood,13.44,10.21,765,0.38,8,7.47,2.6,70,Mamou,22503,0.026873,604.723119,6.057,3662.807932,3662.807932,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0730.2020,2020-05-03,8:27,2020,38.054222,-121.790654,SuisunEast,Shoal,Late Flood,13.23,9.44,550,0.27,8.1,7.35,2.74,65,Mamou,108210,0.026873,2907.92733,6.057,17613.31584,17613.31584,14,4,,1,,4,2,,,,,9,,,,,,,,,,,,,2,,,,,,,,,,2,,,,1,
TPS0678.2020b,2020-04-03,15:07,2020,38.039525,-121.828057,SuisunEast,Distributary,Late Ebb,15.47,12.06,1000,0.5,8.1,5.95,2.2,95,Mamou,6561,0.026873,176.313753,6.057,1067.932402,1067.932402,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
