SampleRowID,SampleDate,SurveyNumber,StationCode,SampleTimeStart,SampleTimeEnd,Secchi,ConductivityTop,WaterTemperature,Turbidity,DepthBottom,MeterStart,MeterEnd,TideCode,TowDirectionCode,MeterNumber,Latitude,Longitude,SampleComments
1,2002-01-07,1,809,0.359722222,0.366666667,25,241,11,,17,282700,298030,4,2,13291,,,
2,2002-01-07,1,812,0.413194444,0.420138889,26,231,11.10000038,,30,298030,318344,4,2,13291,,,
3,2002-01-07,1,815,0.432638889,0.439583333,29,235,11.10000038,,,318342,338032,4,2,13291,,,
4,2002-01-07,1,902,0.454166667,0.461111111,63,340,10.39999962,,,338032,356159,4,2,13291,,,
5,2002-01-07,1,915,0.479861111,0.488194444,65,387,10.39999962,,,356159,375477,4,2,13291,,,
6,2002-01-07,1,914,0.5,0.506944444,49,459,11.39999962,,,375477,391157,4,2,13291,,,
7,2002-01-07,1,912,0.53125,0.538888889,30,316,12.10000038,,42,391157,406121,4,2,13291,,,
8,2002-01-07,1,910,0.591666667,0.596527778,35,368,11.89999962,,37,406268,416004,2,2,13291,,,
9,2002-01-07,1,906,0.607638889,0.614583333,40,327,11.30000019,,39,416004,429677,2,2,13291,,,
10,2002-01-07,1,919,0.629861111,0.636805556,20,178,11.39999962,,20,429677,444303,2,2,13291,,,
11,2002-01-07,1,920,0.652777778,0.659722222,50,223,11,,25,444303,460507,2,2,13291,,,
12,2002-01-08,1,340,0.399305556,0.40625,32,9060,11.10000038,,23,460513,474852,2,1,13291,,,
13,2002-01-08,1,405,0.420833333,0.427777778,38,5310,11.19999981,,15,474852,487211,2,2,13291,,,
14,2002-01-08,1,418,0.436805556,0.443055556,24,4900,11.19999981,,36,487211,504148,2,1,13291,,,
15,2002-01-08,1,411,0.453472222,0.460416667,21,2240,11.30000019,,15,504148,521800,2,1,13291,,,
16,2002-01-08,1,501,0.470833333,0.477777778,18,353,11.30000019,,27,521800,533311,2,1,13291,,,
17,2002-01-08,1,602,0.490972222,0.497916667,19,383,11.5,,8,533311,547852,2,3,13291,,,
