Survey,Date,Station,Temp,TopEC,BottomEC,Secchi,Turbidity,Lat,Long,Comments
1,2009-01-05,809,7.699999809,1424,1548,70,,,,
1,2009-01-05,901,7.699999809,856,883,95,,,,
1,2009-01-05,902,7.400000095,858,777,92,,,,
1,2009-01-05,906,8,469,478,129,,,,
1,2009-01-05,910,8.199999809,548,587,77,,,,
1,2009-01-05,912,8.199999809,997,991,63,,,,
1,2009-01-05,914,7.800000191,604,601,157,,,,
1,2009-01-05,915,7.5,803,801,140,,,,
1,2009-01-05,918,7.599999905,787,758,154,,,,
1,2009-01-05,919,7.699999809,263,265,194,,,,
1,2009-01-06,703,9.199999809,1966,7230,70,,,,
1,2009-01-06,704,9.300000191,3604,8030,40,,,,
1,2009-01-06,705,8,548,640,50,,,,
1,2009-01-06,706,9.100000381,2080,5250,58,,,,
1,2009-01-06,707,8.100000381,1109,1085,35,,,,
1,2009-01-06,711,7.900000095,246,263,59,,,,
1,2009-01-06,716,8.100000381,239,232,77,,,,
1,2009-01-06,723,8,242,242,68,,,,
1,2009-01-06,812,7.699999809,800,800,52,,,,
1,2009-01-06,815,7.699999809,496,500,94,,,,
1,2009-01-07,501,8.5,19580,21440,48,,,,
1,2009-01-07,508,8.199999809,12470,18050,43,,,,
1,2009-01-07,513,8,8020,13790,59,,,,
1,2009-01-07,519,8.300000191,16220,15890,40,,,,
1,2009-01-07,801,7.900000095,6730,8760,50,,,,
1,2009-01-07,804,7.599999905,3946,4695,70,,,,
1,2009-01-08,405,9.600000381,28040,33970,75,,,,
1,2009-01-08,411,9.600000381,28280,33300,80,,,,
1,2009-01-08,418,9.5,28850,34480,90,,,,
1,2009-01-08,504,9.199999809,21600,26830,67,,,,
1,2009-01-08,520,8.5,11160,15360,67,,,,
1,2009-01-08,602,8.899999619,24120,23780,49,,,,
1,2009-01-08,606,8.600000381,15750,16460,50,,,,
1,2009-01-08,609,8.399999619,12580,12580,50,,,,
1,2009-01-08,610,8.100000381,9900,10100,55,,,,
2,2009-01-20,809,8.699999809,1540,1625,90,,,,
2,2009-01-20,901,8.899999619,1004,1030,111,,,,
2,2009-01-20,902,8.699999809,850,854,137,,,,
