ID,Station,Wt Factor,Comments
1,323,213,
2,340,10,
3,342,4,
4,343,2,
5,344,1,
6,345,1,"Wt factor not known, Guessed by DS 5/21/99"
7,346,1,"Wt factor not known, Guessed by DS 5/21/99"
8,405,13,
9,411,46,
10,418,70,
11,501,49,
12,504,60,
13,508,31,
14,513,43,
15,519,15,
16,520,9,
17,602,44,
18,606,20,
19,609,15,
20,610,4,
21,703,4,
22,704,53,
23,705,1,"Wt factor not known, Guessed by DS 5/21/99"
24,706,27,
25,707,35,
26,711,32,
27,716,5,"Wt factor not known, Guessed by DS 5/21/99"
28,801,26,
29,804,52,
30,809,56,
31,812,22,
32,815,40,
33,901,5,
34,902,23,
35,906,21,
36,910,11,
37,912,8,
38,914,15,
39,915,15,
40,918,11,
41,919,10,
