CBSampleID,TowRowID,CBMicrocystis,CBMeterSerial,CBMeterIn,CBMeterOut,CBMeterDifference,CBComments,CBMeterEstimate,CBTowCode
1,16781,,16969,32243,46698,,,,A
2,5201,,16969,62321,78048,,,,A
3,6589,,16969,387952,401313,,,,A
4,1853,,16969,418131,433732,,,,A
5,5386,,16969,465031,480148,,,,A
6,5121,,16969,323903,339598,,,,A
7,1890,,16969,92944,105991,,,,A
8,6758,,16969,150873,165890,,,,A
9,2676,,16969,679903,693184,,,,A
10,3874,,16969,625201,638472,,,,A
11,18090,,16969,595080,607265,,,,A
12,11293,,16969,564944,578602,,,,A
13,5079,,16969,518619,528498,,,,A
14,1884,,16969,493580,506053,,,,A
15,12508,,16969,417694,430601,,,,A
16,1474,,16969,322473,334465,,,,A
17,5033,,16969,361711,374570,,,,A
18,5327,,16969,259593,272093,,,,A
19,14293,,16969,443100,455309,,,,A
20,12494,,16969,91955,104371,,,,A
21,1199,,16969,195346,208110,,,,A
22,16430,,16969,468250,480870,,,,A
23,19849,,16969,998100,1011972,,,,A
24,11155,,16969,721242,730806,,,,A
25,15246,,16969,636100,648570,,,,A
26,7823,,16969,566540,579551,,,,A
27,1019,,16969,48191,65444,,,,A
28,9523,,16969,788870,801289,,,,A
29,8287,,16969,813760,825968,,,,A
30,19810,,16969,851250,862729,,,,A
31,11915,,16969,886551,896420,,,,A
32,19824,,16969,993312,1005881,,,,A
33,19551,,16969,18932,31315,,,,A
34,5062,,16969,47101,60359,,,,A
35,18365,,16969,954380,967192,,,,A
36,1431,,16969,909623,920338,,,,A
37,2606,,16969,931845,944895,,,,A
38,18292,,16969,291850,305758,,,,A
39,1405,,16969,261770,274583,,,,A
40,13273,,16969,218860,233865,,,,A
41,14218,,16969,193542,205607,,,,A
42,6785,,16969,170582,180995,,,,A
43,7668,,16969,145015,155694,,,,A
44,11792,,16969,108850,120422,,,,A
45,11999,,16969,82661,95295,,,,A
46,18343,,16969,506981,516751,,,,A
47,4949,,16969,527277,538326,,,,A
48,13192,,16969,474590,483215,,,,A
49,18360,,16969,415751,425881,,,,A
