SampleRowID,SampleDate,StationCode,UserName,Survey,TemperatureTop,TemperatureBottom,Secchi,ConductivityTop,ConductivityBottom,TideCode,DepthBottom,CableOut,SampleComments,TowDirection,WindDirection,Microcystis,TurbidityTop,Weather,Waves,StartLatDegrees,StartLatMinutes,StartLatSeconds,StartLongDegrees,StartLongMinutes,StartLongSeconds,EndLatDegrees,EndLatMinutes,EndLatSeconds,EndLongDegrees,EndLongMinutes,EndLongSeconds,NetErrors,FlowmeterErrors,TowErrors,DataErrors,SampleErrors,OtherErrors,FieldsheetCorrected
1,1959-06-13,815,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,1959-06-13,902,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,1959-06-13,906,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,1959-06-13,910,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,1959-06-13,914,Admin,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,1959-06-13,915,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,1959-06-14,704,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,1959-06-14,707,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,1959-06-14,711,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,1959-06-14,809,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,1959-06-14,812,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,1959-06-16,418,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,1959-06-16,513,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,1959-06-16,602,Admin,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,1959-06-16,606,Admin,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,1959-06-16,609,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,1959-06-16,610,Admin,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
