RowID,Study Year,Meter Serial,Calibration Date,k factor,Notes
1,2012,24652,3/22/2012,0.027566,First calibration
2,2012,23684,3/22/2012,0.025648,First calibration
3,2012,24609,3/22/2012,0.026354,First calibration
4,2012,22878,3/22/2012,0.026285,First calibration
5,2012,23326,3/22/2012,0.027388,Second calibration
6,2012,24595,3/22/2012,0.028776,First calibration
7,2012,24658,3/22/2012,0.026114,First calibration
8,2012,24651,3/22/2012,0.029431,First calibration
9,2012,24654,3/22/2012,0.027502,First calibration
10,2008,12994,,0.026873027,Used Factory Calibration
11,2009,23326,,0.026873027,Used Factory Calibration
12,2009,23306,,0.026873027,
13,2009,22326,,0.026873027,
14,1996,14980,4/22/1996,0.026922,
15,1996,14982,4/22/1996,0.026838,
16,1997,12215,8/29/1996,0.02694,Average
17,1997,13287,8/29/1996,0.027003,Average of calibration values from 1/18/96 and 8/29/96
18,1997,13297,1/18/1996,0.026908,
19,1997,13314,5/23/2000,0.027015,used 1998 calibration
20,1997,13327,3/21/1996,0.026315,
21,1997,14982,3/21/1996,0.026838,copied from 1996
22,1998,6150,10/3/1997,0.0255619,
23,1998,9784,10/2/1997,0.0298871,
24,1998,12204,10/3/1997,0.028455,
25,1998,12207,10/2/1997,0.025542,
26,1998,12215,10/3/1997,0.0251519,
27,1998,12945,10/2/1997,0.0270913,
28,1998,13287,2/24/2000,0.0269526,Average of calibration values from 8/29/96 and 2/3/00
29,1998,13291,10/2/1997,0.026512,
30,1998,13314,10/2/1997,0.027015,
31,1998,13327,2/2/1998,0.02775,
32,1998,14958,2/24/1998,0.0270287,
33,1998,14979,2/24/1998,0.02905,
34,1998,14980,10/2/1997,0.0259989,
35,1998,14982,10/2/1997,0.0266586,
36,1999,6150,5/25/1999,0.025562,1998 copied data
37,1999,9794,2/28/2000,0.0273684,used 2000 calibration
38,1999,13287,2/3/2000,0.0269022,
39,1999,13297,2/28/2000,0.026908,used 1997 calibration
40,1999,13314,2/28/2000,0.027015,used 1998 calibration
41,1999,14958,2/24/1999,0.0270287,copied from 1998
42,1999,14977,4/6/2000,0.025923,Copied from 1996
43,1999,14980,5/25/1999,0.0259989,1998 numbers
44,1999,14982,5/25/1999,0.026659,1998 calibration
45,2000,6150,2/1/2000,0.0264804,
46,2000,9784,2/1/2000,0.0258847,
47,2000,9794,2/1/2000,0.0273684,
48,2000,12204,2/1/2000,0.0269834,
49,2000,12207,2/1/2000,0.026542,
50,2000,12215,2/1/2000,0.0256179,
51,2000,12423,2/3/2000,0.0259388,
52,2000,13287,2/3/2000,0.0269022,
53,2000,14958,2/3/2000,0.027884,
54,2000,14979,2/3/2000,0.0279884,
55,2000,14982,2/3/2000,0.0261806,
56,2001,6150,1/18/2001,0.0265915,
57,2001,9784,1/18/2001,0.0289884,
58,2001,9794,1/18/2001,0.0266803,
59,2001,12204,1/18/2001,0.0271058,
60,2001,12207,1/18/2001,0.0262769,
61,2001,12945,1/18/2001,0.0260117,
62,2001,13291,2/3/2000,0.0258507,used 2000 calibration
63,2001,13327,1/18/2001,0.0283886,
64,2001,14958,1/18/2001,0.0261244,
65,2001,14977,1/18/2001,0.0276912,
66,2001,14979,1/18/2001,0.0262699,
67,2001,14980,1/18/2001,0.0260976,
68,2001,14982,1/18/2001,0.0265386,
69,2002,9794,1/28/2002,0.0283096,
70,2002,12204,1/15/2002,0.0267956,
71,2002,12207,1/15/2002,0.0266829,
72,2010,23306,,0.026873027,New meter: used factory calibration
73,2010,23936,,0.026873027,New meter: used factory calibration
74,2005,12994,,0.0276714,Used correction used in 2004.
75,2005,13287,1/27/2005,0.0256605,
76,2005,14958,8/27/2003,0.0262258,Used 2003 Calibration Value
77,2005,14979,1/27/2005,0.0289173,
78,2005,14982,1/27/2005,0.025038,
79,2005,16976,1/27/2005,0.0284095,
80,2005,16979,3/11/2004,0.0294949,Used 2004 Calibration Value
81,2005,19294,1/27/2005,0.0270963,
82,2005,19296,8/28/2003,0.0282868,Used 2003 Calibration Value
83,2005,19299,8/28/2003,0.0260194,Used 2003 Calibration Value
84,2005,19497,8/28/2003,0.0259265,Used 2003 Calibration Value
85,2006,14977,,0.0276912,
86,2007,12441,2/1/2007,0.02691418,Housing Broken(6/6/07)
87,2007,14979,2/1/2007,0.026556681,
88,2007,14958,2/1/2007,0.026597643,
89,1995,6150,1/31/1995,0.028855,
90,1998,6150,10/3/1997,0.0255619,
91,1999,6150,5/25/1999,0.025562,1998 copied data
92,2000,6150,2/1/2000,0.0264804,
93,2001,6150,1/18/2001,0.0265915,
94,1994,7539,10/1/1993,0.026858,
95,1995,7563,1/31/1995,0.026815,
96,1995,9784,1/31/1995,0.026594,
97,1998,9784,10/2/1997,0.0298871,
98,2000,9784,2/1/2000,0.0258847,
99,2001,9784,1/18/2001,0.0289884,
100,1994,9794,8/31/1994,0.026974,
