StationCode,N_Surveys,CPUV_Pacific_Herring_Age_0,CPUV_Northern_Anchovy_Age_0,CPUV_Longfin_Smelt_Age_0,CPUV_Delta_Smelt_Age_1,CPUV_Striped_Bass_Age_0,CPUV_Delta_Smelt_Age_0,CPUV_White_Catfish_Age_0,CPUV_Tridentiger_Spp._Age_0,CPUV_Threadfin_Shad_Age_1,CPUV_Longfin_Smelt_Age_1,CPUV_Chinook_Salmon_Age_0,CPUV_White_Sturgeon_Age_0,CPUV_Prickly_Sculpin_Age_1,CPUV_Prickly_Sculpin_Age_0,CPUVTotal,Cluster
343,5.518518518518518,3340.527,3.679,4.193,0,0,0,0,0,0,0,0,0,0,207.732,4903.721,1
344,5.518518518518518,9827.986,1.871,4.244,0,0,0,0,0,0,0,0,0,0,354.465,12388.253,1
345,5.518518518518518,6573.754,2.53,7.153,0,0,0.416,0,0,0,0,0,0,0,176.878,8650.396,1
342,5.518518518518518,1129.151,12.157,9.376,0,0,0,0,0,0,0,0,0,0,69.872,2580.768,1
346,5.518518518518518,9440.167,0.187,10.889,0,0,0,0,0,0,0,0,0,0,459.507,11537.743999999999,1
348,5.518518518518518,2343.026,0,6.094,0,0,0.238,0,0.23,0,0,0,0,0,673.951,3594.767,1
347,5.3076923076923075,3896.74,0,2.51,0,0,0.24,0,0,0,0,0,0,0,429.499,5748.032999999999,1
349,5.3076923076923075,1298.356,0,4.375,0,0,0,0,0,0,0,0,0,0,713.602,2337.8,1
340,5.518518518518518,3404.941,4.263,3.877,0,0,0,0,0,0,0,0,0,0,61.483,4179.246999999999,1
405,5.705882352941177,3778.243,9.187,229.961,0,0.136,0.353,0,0,0,0,0.078,0,0,44.62,4300.095,1
418,5.705882352941177,1159.418,1.054,340.658,0,0,0.265,0,0,0,0,0,0,0,25.127,1781.423,1
411,5.626865671641791,6573.616,3.533,379.658,0,0,0.221,0,0,0,0,0.062,0,0,43.443,7203.734,1
602,5.782608695652174,1637.523,0.173,264.731,0.239,0,0.09,0,0,0,0,0,0,0,56.895,2031.721,1
606,5.705882352941177,559.689,0.086,243.447,0.309,0.069,0.15,0,0,0.086,0,0.069,0,0,152.232,998.651,2
504.2,5.782608695652174,1596.233,2.152,480.439,0,0,0.352,0,0,0,0,0,0,0,117.718,2295.993,1
501.2,5.705882352941177,1213.393,0.843,488.282,0,0,0,0,0,0,0,0,0,0,40.901,1875.171,1
519,5.705882352941177,679.722,1.42,315.162,0,0,0.222,0,0,0,0,0,0,0,114.732,1187.302,1
609,5.782608695652174,137.439,0,100.639,0.385,0.48,0,0,0,0.079,0,0,0,0,198.358,457.721,2
508,5.857142857142857,717.034,0.693,492.499,0,0,1.885,0,0,0,0,0.064,0,0,86.738,1383.154,1
610,5.782608695652174,191.343,0,41.4,0,0,0,0,0,0,0.073,0.39,0,4.251,147.489,391.417,3
513,5.857142857142857,863.521,0.607,378.98,0,0,4.035,0,0,0,0,0,0,0,102.273,1402.756,1
520,5.857142857142857,879.535,0.081,251.512,0,0.149,0.706,0,0,0,0,0.091,0.086,0,117.033,1270.901,4
801,5.782608695652174,474.44,0.298,289.484,0,0,1.417,0,0,0,0,0.089,0.092,0,85.253,866.256,4
703,5.782608695652174,178.941,0,130.51,0,0.075,1.758,0,0,0,0,0,0,0,117.358,434.216,2
804,5.782608695652174,162.157,0,136.035,0,0.082,0.27,0,0,0,0,0,0,0,224.864,529.473,2
704,5.782608695652174,196.283,0,330.349,0,0,2.295,0,0,0.091,0,0,0,0,77.57,617.271,2
706,5.782608695652174,326.84,0,250.14,0.28,0.171,2.898,0,0,0,0,0.084,0,0,116.138,698.425,2
705,5.857142857142857,203.622,0,134.525,0,0,2.621,0,0,0,0,0.076,0.2,0,210.353,553.773,4
707,5.705882352941177,300.278,0,239.404,0,0.812,2.722,0,0,0,0,0.087,0,0,96.631,643.582,2
809,5.782608695652174,56.905,0,113.18,0.087,0.223,0.774,0.101,0,0,0,0,0,0,277.065,450.615,2
716.1,5.782608695652174,0.078,0,122.792,0.073,0.286,3.156,1.478,0,0,0,0.07,0,0,223.324,352.78700000000003,2
723,5.782608695652174,0,0,96.452,0.147,0.162,3.138,0.243,0,0,0,0.088,0,0,176.106,277.811,2
711,5.575757575757576,6.165,0,33.115,0,0,0.231,0,0,0,0,0.159,0.356,0,100.635,141.076,4
812,5.656716417910448,3.094,0,44.161,0,0.319,1.771,0,0,0,0,0,0,0,644.334,694.702,2
901,5.656716417910448,16.915,0,45.728,0,0,0.453,0,0,0,0,0,0,0,358.471,422.836,5
902,5.705882352941177,9.376,0,13.537,0,0,0.512,0.092,0,0,0,0,0,0,505.67,530.563,5
815,5.857142857142857,1.753,0,11.338,0.078,0.829,0.894,0,0,0,0,0,0,0,446.575,461.875,2
918,5.705882352941177,0.081,0,3.834,0,0,0,0.088,0,0,0,0,0,0,501.575,507.042,5
915,5.782608695652174,0.305,0,8.586,0,0,0,0.277,0,0,0,0,0,0,363.337,372.78999999999996,5
914,5.782608695652174,0.071,0,2.655,0,0,0.071,0.075,0,0,0,0,0,0,534.998,539.4920000000001,5
906,5.857142857142857,0.288,0,5.343,0,0.073,0.798,0.068,0,0,0,0,0,0,418.181,425.756,5
919,5.857142857142857,0,0,1.877,0,0,0.298,0,0,0,0,0,0,0,623.567,626.453,5
910,5.705882352941177,0,0,1.776,0,0,0,3.886,0,0.073,0,0,0,0,262.974,269.631,5
912,5.782608695652174,0,0,0.14,0,0,0,0.144,0,0,0,0,0,0,194.874,197.243,5
