SurveySeason,StationCode,Year,SampleDate,TowNumber,Salinity_ppt,Temperature_c,Turbidity_ntu,Secchi_cm,Volume_m3,Delta_Smelt,Longfin_Smelt
20mm,902,1995,1995-04-24T07:00:00Z,1,0.076,16.29999924,NA,70,957.7273845,0,0
20mm,902,1995,1995-04-24T07:00:00Z,2,0.076,16.29999924,NA,70,990.5145943,0,0
20mm,902,1995,1995-04-24T07:00:00Z,3,0.076,16.29999924,NA,70,986.3756148,0,0
20mm,902,1995,1995-05-08T07:00:00Z,1,NA,17.79999924,NA,86,871.0928634,0,0
20mm,902,1995,1995-05-08T07:00:00Z,2,NA,17.79999924,NA,86,879.2085094,0,0
20mm,902,1995,1995-05-08T07:00:00Z,3,NA,17.79999924,NA,86,882.5765025,0,0
20mm,902,1995,1995-05-22T07:00:00Z,1,0.038,18.10000038,NA,96,1092.122482,0,0
20mm,902,1995,1995-05-22T07:00:00Z,2,0.038,18.10000038,NA,96,1059.254116,0,0
20mm,902,1995,1995-05-22T07:00:00Z,3,0.038,18.10000038,NA,96,1074.227483,0,0
20mm,902,1995,1995-06-05T07:00:00Z,1,0.027,19,NA,65,922.6272155,0,0
20mm,902,1995,1995-06-05T07:00:00Z,3,0.027,19,NA,65,942.8351741,0,0
20mm,902,1995,1995-06-20T07:00:00Z,1,0.032,19.60000038,NA,57,978.0570777,0,0
20mm,902,1995,1995-06-20T07:00:00Z,2,0.032,19.60000038,NA,57,878.8838836,0,0
20mm,902,1995,1995-06-20T07:00:00Z,3,0.032,19.60000038,NA,57,956.4288811,0,0
20mm,902,1995,1995-07-03T07:00:00Z,1,0.012,20.20000076,NA,75,910.5754812,0,0
20mm,902,1995,1995-07-03T07:00:00Z,2,0.012,20.20000076,NA,75,895.5209579,0,0
20mm,902,1995,1995-07-03T07:00:00Z,3,0.012,20.20000076,NA,75,916.2970116,0,0
20mm,902,1995,1995-07-17T07:00:00Z,1,0.027,23.29999924,NA,79,962.7185068,0,0
20mm,902,1995,1995-07-17T07:00:00Z,2,0.027,23.29999924,NA,79,980.2888803,0,0
20mm,902,1995,1995-07-17T07:00:00Z,3,0.027,23.29999924,NA,79,965.9647652,0,0
20mm,902,1995,1995-07-31T07:00:00Z,1,0.012,23.10000038,NA,83,1053.735477,0,0
20mm,902,1995,1995-07-31T07:00:00Z,2,0.012,23.10000038,NA,83,928.4704806,0,0
20mm,902,1996,1996-04-10T07:00:00Z,1,0.054,16.5,NA,84,915.4042906,0,0
20mm,902,1996,1996-04-10T07:00:00Z,2,0.054,16.5,NA,84,1080.841734,0,0
20mm,902,1996,1996-04-10T07:00:00Z,3,0.054,16.5,NA,84,985.0771115,3,0
20mm,902,1996,1996-04-24T07:00:00Z,1,0.067,17.79999924,NA,147,872.5131015,0,3
20mm,902,1996,1996-04-24T07:00:00Z,2,0.067,17.79999924,NA,147,910.5754812,1,0
20mm,902,1996,1996-05-09T07:00:00Z,1,0.082,19,NA,121,917.5549368,0,0
20mm,902,1996,1996-05-09T07:00:00Z,2,0.082,19,NA,121,913.5782702,0,0
20mm,902,1996,1996-05-09T07:00:00Z,3,0.082,19,NA,121,940.1975891,0,0
20mm,902,1996,1996-05-21T07:00:00Z,1,0.08,19.10000038,NA,101,916.5810592,0,0
20mm,902,1996,1996-05-21T07:00:00Z,2,0.08,19.10000038,NA,101,918.4070796,0,0
20mm,902,1996,1996-05-21T07:00:00Z,3,0.08,19.10000038,NA,101,947.7451399,0,0
20mm,902,1996,1996-06-08T07:00:00Z,1,0.019,23.29999924,NA,74,848.3284764,0,0
20mm,902,1996,1996-06-24T07:00:00Z,1,0.021,20.60000038,NA,102,867.3596663,0,0
20mm,902,1996,1996-06-24T07:00:00Z,2,0.021,20.60000038,NA,102,843.9460275,0,0
20mm,902,1996,1996-06-24T07:00:00Z,3,0.021,20.60000038,NA,102,822.4801439,0,0
20mm,902,1996,1996-07-08T07:00:00Z,1,0.023,22.39999962,NA,89,975.9064315,0,0
20mm,902,1996,1996-07-08T07:00:00Z,2,0.023,22.39999962,NA,89,942.5105482,0,0
20mm,902,1996,1996-07-08T07:00:00Z,3,0.023,22.39999962,NA,89,992.056567,0,0
20mm,902,1996,1996-07-22T07:00:00Z,1,0.042,23,NA,100,932.771773,0,0
20mm,902,1996,1996-07-22T07:00:00Z,2,0.042,23,NA,100,916.6216375,0,0
20mm,902,1996,1996-07-22T07:00:00Z,3,0.042,23,NA,100,1045.254627,0,0
20mm,902,1997,1997-03-31T08:00:00Z,1,0.038,15.60000038,NA,94,853.8471157,0,0
20mm,902,1997,1997-03-31T08:00:00Z,2,0.038,15.60000038,NA,94,835.384021,0,0
20mm,902,1997,1997-03-31T08:00:00Z,3,0.038,15.60000038,NA,94,887.080686,0,0
20mm,902,1997,1997-04-14T07:00:00Z,1,0.042,15.30000019,NA,87,312.2900581,0,0
20mm,902,1997,1997-04-14T07:00:00Z,2,0.042,15.30000019,NA,87,608.2676677,0,0
20mm,902,1997,1997-04-14T07:00:00Z,3,0.042,15.30000019,NA,87,577.9151517,4,0
20mm,902,1997,1997-04-28T07:00:00Z,1,0.089,18.29999924,NA,120,904.7322161,0,0
20mm,902,1997,1997-04-28T07:00:00Z,2,0.089,18.29999924,NA,120,914.592726,0,0
20mm,902,1997,1997-04-28T07:00:00Z,3,0.089,18.29999924,NA,120,915.120243,0,0
20mm,902,1997,1997-05-12T07:00:00Z,1,0.095,20,NA,90,746.3959626,0,0
20mm,902,1997,1997-05-12T07:00:00Z,2,0.095,20,NA,90,869.5508907,3,0
20mm,902,1997,1997-05-12T07:00:00Z,3,0.095,20,NA,90,786.0408933,0,0
20mm,902,1997,1997-05-27T07:00:00Z,1,0.084,20.70000076,NA,66,856.200653,0,0
20mm,902,1997,1997-05-27T07:00:00Z,2,0.084,20.70000076,NA,66,744.6105205,0,0
20mm,902,1997,1997-05-27T07:00:00Z,3,0.084,20.70000076,NA,66,676.3579376,0,0
20mm,902,1997,1997-06-09T07:00:00Z,1,0.067,20.89999962,NA,89,983.9814993,0,0
20mm,902,1997,1997-06-09T07:00:00Z,2,0.067,20.89999962,NA,89,907.6132704,0,0
20mm,902,1997,1997-06-09T07:00:00Z,3,0.067,20.89999962,NA,89,950.8290854,0,0
20mm,902,1997,1997-06-24T07:00:00Z,1,0.071,21.79999924,NA,98,981.9120095,0,0
20mm,902,1997,1997-06-24T07:00:00Z,2,0.071,21.79999924,NA,98,848.1661635,0,0
20mm,902,1997,1997-06-24T07:00:00Z,3,0.071,21.79999924,NA,98,822.9265044,0,0
20mm,902,1997,1997-07-08T07:00:00Z,2,0.128,22,NA,112,849.2617757,0,0
20mm,902,1997,1997-07-08T07:00:00Z,3,0.128,22,NA,112,843.9054493,0,0
20mm,902,1997,1997-07-22T07:00:00Z,1,0.123,20.89999962,NA,116,842.3228983,0,0
20mm,902,1997,1997-07-22T07:00:00Z,2,0.123,20.89999962,NA,116,849.7487144,0,0
20mm,902,1997,1997-07-22T07:00:00Z,3,0.123,20.89999962,NA,116,796.5912331,0,0
20mm,902,1998,1998-04-06T07:00:00Z,1,0.116,12.60000038,NA,68,470.4639986,0,0
20mm,902,1998,1998-04-06T07:00:00Z,2,0.116,12.60000038,NA,68,745.0163028,0,0
20mm,902,1998,1998-04-06T07:00:00Z,3,0.116,12.60000038,NA,68,829.5813341,0,0
20mm,902,1998,1998-04-21T07:00:00Z,1,0.074,16.79999924,NA,76,960.7301735,0,0
20mm,902,1998,1998-04-21T07:00:00Z,2,0.074,16.79999924,NA,76,1034.501396,0,0
20mm,902,1998,1998-04-21T07:00:00Z,3,0.074,16.79999924,NA,76,996.5201723,0,0
20mm,902,1998,1998-05-04T07:00:00Z,1,0.061,19.10000038,NA,54,874.2579654,0,0
20mm,902,1998,1998-05-04T07:00:00Z,3,0.061,19.10000038,NA,54,850.0733403,1,0
20mm,902,1998,1998-05-18T07:00:00Z,1,0.053,16,NA,62,851.7370477,0,0
20mm,902,1998,1998-05-18T07:00:00Z,2,0.053,16,NA,62,870.2001424,0,0
20mm,902,1998,1998-05-18T07:00:00Z,3,0.053,16,NA,62,767.3749075,0,0
20mm,902,1998,1998-06-01T07:00:00Z,3,0.045,17.89999962,NA,44,820.6541235,0,0
20mm,902,1998,1998-06-15T07:00:00Z,1,0.042,21.79999924,NA,60,811.6863347,0,0
20mm,902,1998,1998-06-15T07:00:00Z,2,0.042,21.79999924,NA,60,797.4839542,0,0
20mm,902,1998,1998-06-28T07:00:00Z,1,NA,NA,NA,40,385.8989673,0,0
20mm,902,1998,1998-06-28T07:00:00Z,2,NA,NA,NA,40,426.7612449,0,0
20mm,902,1998,1998-06-28T07:00:00Z,3,NA,NA,NA,40,829.1755518,0,0
20mm,902,1998,1998-07-13T07:00:00Z,1,0.03,22.60000038,NA,70,822.0337833,0,0
20mm,902,1998,1998-07-13T07:00:00Z,2,0.03,22.60000038,NA,70,768.3893633,0,0
20mm,902,1998,1998-07-13T07:00:00Z,3,0.03,22.60000038,NA,70,837.0071502,0,0
20mm,902,1998,1998-07-27T07:00:00Z,1,0.019,21.89999962,NA,80,932.8529295,0,0
20mm,902,1998,1998-07-27T07:00:00Z,2,0.019,21.89999962,NA,80,990.4334378,0,0
20mm,902,1998,1998-07-27T07:00:00Z,3,0.019,21.89999962,NA,80,828.9726607,0,0
20mm,902,1999,1999-04-12T07:00:00Z,1,0.074,12,NA,68,874.014496,0,0
20mm,902,1999,1999-04-12T07:00:00Z,3,0.074,12,NA,68,890.4486791,0,0
20mm,902,1999,1999-04-27T07:00:00Z,1,0.088,15.19999981,NA,42,730.2052489,0,1
20mm,902,1999,1999-04-27T07:00:00Z,2,0.088,15.19999981,NA,42,721.5215076,1,0
20mm,902,1999,1999-05-10T07:00:00Z,1,0.078,16.10000038,NA,60,830.5957899,2,1
20mm,902,1999,1999-05-10T07:00:00Z,2,0.078,16.10000038,NA,60,852.14283,4,0
20mm,902,1999,1999-05-10T07:00:00Z,3,0.078,16.10000038,NA,60,869.5914689,4,0
20mm,902,1999,1999-05-24T07:00:00Z,1,0.025,17.89999962,NA,43,807.1415729,1,0
20mm,902,1999,1999-05-24T07:00:00Z,2,0.025,17.89999962,NA,43,793.2638183,3,0
20mm,902,1999,1999-05-24T07:00:00Z,3,0.025,17.89999962,NA,43,810.9153483,10,0
20mm,902,1999,1999-06-07T07:00:00Z,1,0.058,19.20000076,NA,35,834.2884088,0,0
20mm,902,1999,1999-06-07T07:00:00Z,2,0.058,19.20000076,NA,35,852.5486123,0,0
20mm,902,1999,1999-06-07T07:00:00Z,3,0.058,19.20000076,NA,35,906.8017058,6,0
20mm,902,1999,1999-06-21T07:00:00Z,1,0.054,22.60000038,NA,60,847.6792247,0,0
20mm,902,1999,1999-06-21T07:00:00Z,2,0.054,22.60000038,NA,60,797.6462671,0,0
20mm,902,1999,1999-06-21T07:00:00Z,3,0.054,22.60000038,NA,60,860.8265712,0,0
