Year,Month,CommonName,StationCode,SurveySeason,Catch,min_length,max_length
1996,4,Delta_Smelt,902,20mm,4,9,12
1996,4,Delta_Smelt,914,20mm,1,16,16
1996,4,Delta_Smelt,915,20mm,2,14,18
1996,4,Delta_Smelt,918,20mm,1,11,11
1996,4,Longfin_Smelt,902,20mm,3,13,16
1996,4,Longfin_Smelt,918,20mm,59,11,21
1996,5,Delta_Smelt,918,20mm,1,21,21
1997,3,Delta_Smelt,914,20mm,2,8,11
1997,4,Delta_Smelt,902,20mm,4,7,14
1997,4,Delta_Smelt,914,20mm,5,9,16
1997,4,Delta_Smelt,915,20mm,6,9,17
1997,4,Delta_Smelt,918,20mm,1,14,14
1997,4,Longfin_Smelt,915,20mm,3,8,18
1997,4,Longfin_Smelt,918,20mm,4,7,15
1997,5,Delta_Smelt,902,20mm,3,7,14
1997,5,Delta_Smelt,914,20mm,1,10,10
1997,5,Longfin_Smelt,915,20mm,1,17,17
1998,5,Delta_Smelt,902,20mm,1,23,23
1998,6,Delta_Smelt,915,20mm,1,14,14
1999,4,Delta_Smelt,902,20mm,1,14,14
1999,4,Delta_Smelt,914,20mm,6,9,11
1999,4,Delta_Smelt,915,20mm,2,11,11
1999,4,Delta_Smelt,918,20mm,2,10,11
1999,4,Longfin_Smelt,902,20mm,1,22,22
1999,5,Delta_Smelt,902,20mm,24,12,32
1999,5,Delta_Smelt,914,20mm,1,9,9
1999,5,Delta_Smelt,915,20mm,2,13,27
1999,5,Delta_Smelt,918,20mm,2,22,25
1999,5,Longfin_Smelt,902,20mm,1,22,22
1999,6,Delta_Smelt,902,20mm,6,12,33
1999,6,Delta_Smelt,914,20mm,1,12,12
1999,6,Delta_Smelt,915,20mm,8,9,24
1999,6,Delta_Smelt,918,20mm,3,13,17
2000,3,Delta_Smelt,915,20mm,1,6,6
2000,4,Delta_Smelt,914,20mm,4,10,14
2000,4,Delta_Smelt,915,20mm,4,8,15
2000,4,Longfin_Smelt,902,20mm,1,7,7
2000,4,Longfin_Smelt,914,20mm,7,7,8
2000,4,Longfin_Smelt,915,20mm,1,8,8
2000,4,Longfin_Smelt,918,20mm,1,7,7
2000,5,Delta_Smelt,902,20mm,3,9,23
2000,5,Delta_Smelt,914,20mm,1,14,14
2000,5,Delta_Smelt,915,20mm,3,10,17
2000,5,Delta_Smelt,918,20mm,16,6,18
2000,5,Longfin_Smelt,902,20mm,1,16,16
2000,5,Longfin_Smelt,915,20mm,1,12,12
2000,6,Delta_Smelt,902,20mm,2,9,12
2000,6,Delta_Smelt,915,20mm,1,6,6
2000,6,Delta_Smelt,918,20mm,1,11,11
2000,6,Longfin_Smelt,918,20mm,1,9,9
2001,3,Longfin_Smelt,914,20mm,1,11,11
2001,3,Longfin_Smelt,915,20mm,4,7,11
2001,3,Longfin_Smelt,918,20mm,3,8,16
2001,4,Delta_Smelt,902,20mm,8,5,14
2001,4,Delta_Smelt,914,20mm,3,11,14
2001,4,Delta_Smelt,915,20mm,2,11,12
2001,4,Delta_Smelt,918,20mm,4,8,18
2001,4,Longfin_Smelt,902,20mm,11,6,12
2001,4,Longfin_Smelt,914,20mm,2,6,13
2001,4,Longfin_Smelt,915,20mm,3,7,9
2001,4,Longfin_Smelt,918,20mm,1,16,16
2001,5,Delta_Smelt,902,20mm,8,8,26
2001,5,Delta_Smelt,915,20mm,1,15,15
2001,5,Delta_Smelt,918,20mm,1,12,12
2002,1,Delta_Smelt,902,SKT,7,58,70
2002,1,Delta_Smelt,914,SKT,9,61,69
2002,1,Delta_Smelt,915,SKT,4,61,69
2002,3,Longfin_Smelt,902,20mm,11,7,15
2002,3,Longfin_Smelt,914,20mm,4,10,12
2002,3,Longfin_Smelt,915,20mm,11,8,17
2002,3,Longfin_Smelt,918,20mm,7,7,16
2002,4,Delta_Smelt,902,20mm,6,6,12
2002,4,Delta_Smelt,914,20mm,25,8,16
2002,4,Delta_Smelt,915,20mm,9,7,12
2002,4,Delta_Smelt,918,20mm,15,8,18
2002,4,Longfin_Smelt,902,20mm,51,6,88
2002,4,Longfin_Smelt,914,20mm,11,9,13
2002,4,Longfin_Smelt,915,20mm,21,8,16
2002,4,Longfin_Smelt,918,20mm,24,8,17
2002,5,Delta_Smelt,902,20mm,3,11,23
2002,5,Delta_Smelt,914,20mm,1,10,10
2002,5,Delta_Smelt,915,20mm,2,18,23
2002,5,Longfin_Smelt,914,20mm,1,14,14
2002,6,Delta_Smelt,902,20mm,2,18,22
2003,2,Delta_Smelt,914,SKT,1,72,72
2003,3,Delta_Smelt,902,20mm,1,6,6
2003,3,Delta_Smelt,915,20mm,1,6,6
2003,3,Delta_Smelt,918,20mm,1,8,8
2003,3,Longfin_Smelt,915,20mm,1,7,7
2003,3,Longfin_Smelt,918,20mm,4,6,9
2003,4,Delta_Smelt,914,20mm,13,7,15
2003,4,Delta_Smelt,915,20mm,1,14,14
2003,4,Longfin_Smelt,902,20mm,2,9,12
2003,4,Longfin_Smelt,914,20mm,2,8,11
2003,4,Longfin_Smelt,915,20mm,1,7,7
2003,4,Longfin_Smelt,918,20mm,1,20,20
2003,5,Delta_Smelt,902,20mm,2,11,15
2003,5,Delta_Smelt,918,20mm,1,11,11
2003,6,Delta_Smelt,902,20mm,1,10,10
2004,1,Delta_Smelt,914,SKT,4,62,68
2004,3,Delta_Smelt,914,20mm,1,8,8
2004,4,Delta_Smelt,902,20mm,1,12,12
2004,4,Delta_Smelt,902,SKT,2,60,65
2004,4,Delta_Smelt,914,20mm,1,10,10
2004,4,Longfin_Smelt,914,20mm,1,14,14
2004,4,Longfin_Smelt,915,20mm,1,17,17
2004,5,Delta_Smelt,902,20mm,2,15,25
2004,5,Delta_Smelt,915,20mm,1,12,12
2005,1,Delta_Smelt,902,SKT,4,62,63
2005,3,Delta_Smelt,914,20mm,2,11,11
2005,3,Delta_Smelt,918,20mm,1,11,11
2005,3,Longfin_Smelt,914,20mm,1,10,10
2005,4,Delta_Smelt,914,20mm,1,18,18
2005,4,Delta_Smelt,918,20mm,1,14,14
2005,5,Delta_Smelt,914,20mm,1,26,26
2006,2,Delta_Smelt,902,SKT,4,61,63
2006,2,Delta_Smelt,914,SKT,1,65,65
2006,4,Delta_Smelt,902,SKT,1,73,73
2007,4,Longfin_Smelt,902,20mm,1,19,19
2008,4,Delta_Smelt,902,20mm,2,7,14
2008,4,Delta_Smelt,915,20mm,1,14,14
2008,4,Longfin_Smelt,902,20mm,1,7,7
2008,4,Longfin_Smelt,914,20mm,1,12,12
2008,4,Longfin_Smelt,918,20mm,2,11,12
2008,5,Delta_Smelt,902,20mm,2,20,28
2008,5,Delta_Smelt,914,20mm,1,14,14
2009,1,Longfin_Smelt,901,SLS,19,6,8
2009,1,Longfin_Smelt,902,SLS,8,7,8
2009,1,Longfin_Smelt,914,SLS,2,8,8
2009,1,Longfin_Smelt,915,SLS,4,6,7
2009,1,Longfin_Smelt,918,SLS,1,8,8
2009,2,Longfin_Smelt,901,SLS,32,6,9
2009,2,Longfin_Smelt,902,SLS,23,5,10
2009,2,Longfin_Smelt,914,SLS,8,6,11
2009,2,Longfin_Smelt,915,SLS,33,6,12
2009,2,Longfin_Smelt,918,SLS,10,8,9
2009,3,Longfin_Smelt,901,SLS,8,6,9
2009,3,Longfin_Smelt,914,20mm,1,17,17
2009,3,Longfin_Smelt,914,SLS,1,11,11
2009,3,Longfin_Smelt,918,20mm,1,15,15
2009,3,Longfin_Smelt,918,SLS,2,7,9
2009,4,Delta_Smelt,914,20mm,2,7,12
2009,4,Longfin_Smelt,902,20mm,4,12,15
2009,4,Longfin_Smelt,915,20mm,1,17,17
2009,4,Longfin_Smelt,918,20mm,1,10,10
2010,1,Longfin_Smelt,901,SLS,82,5,8
2010,1,Longfin_Smelt,902,SLS,27,6,8
2010,1,Longfin_Smelt,914,SLS,5,6,8
2010,1,Longfin_Smelt,915,SLS,14,7,9
2010,1,Longfin_Smelt,918,SLS,4,7,8
2010,2,Longfin_Smelt,901,SLS,48,5,8
2010,2,Longfin_Smelt,902,SLS,16,6,9
2010,2,Longfin_Smelt,915,SLS,7,7,9
2010,2,Longfin_Smelt,918,SLS,5,7,9
2010,3,Longfin_Smelt,901,SLS,10,6,7
2010,3,Longfin_Smelt,902,20mm,1,7,7
2010,3,Longfin_Smelt,902,SLS,2,5,7
2010,3,Longfin_Smelt,915,SLS,2,6,8
2010,3,Longfin_Smelt,918,SLS,1,5,5
2011,1,Delta_Smelt,914,SKT,4,68,69
2011,1,Longfin_Smelt,901,SLS,34,6,8
2011,1,Longfin_Smelt,902,SLS,2,6,7
2011,1,Longfin_Smelt,915,SLS,1,7,7
2011,1,Longfin_Smelt,918,SLS,1,7,7
2011,2,Longfin_Smelt,901,SLS,10,6,8
2011,2,Longfin_Smelt,902,SLS,10,6,9
2011,2,Longfin_Smelt,914,SLS,1,8,8
2011,2,Longfin_Smelt,915,SLS,1,8,8
2011,2,Longfin_Smelt,918,SLS,2,8,9
2011,3,Longfin_Smelt,901,SLS,1,6,6
2011,3,Longfin_Smelt,902,SLS,1,7,7
2011,3,Longfin_Smelt,915,SLS,1,7,7
2012,1,Longfin_Smelt,901,SLS,121,6,9
2012,1,Longfin_Smelt,902,SLS,34,6,9
2012,1,Longfin_Smelt,914,SLS,8,7,10
2012,1,Longfin_Smelt,915,SLS,10,7,9
2012,1,Longfin_Smelt,918,SLS,6,7,8
2012,2,Longfin_Smelt,901,SLS,36,6,10
2012,2,Longfin_Smelt,902,SLS,14,6,11
2012,2,Longfin_Smelt,914,SLS,5,8,12
2012,2,Longfin_Smelt,915,SLS,15,7,14
2012,2,Longfin_Smelt,918,SLS,7,6,11
2012,3,Delta_Smelt,901,SLS,4,6,7
2012,3,Delta_Smelt,914,SLS,1,8,8
2012,3,Longfin_Smelt,901,SLS,9,7,11
2012,3,Longfin_Smelt,902,20mm,1,8,8
2012,3,Longfin_Smelt,902,SLS,5,7,9
2012,3,Longfin_Smelt,914,20mm,3,12,15
2012,3,Longfin_Smelt,914,SLS,1,7,7
2012,3,Longfin_Smelt,915,20mm,5,8,20
2012,3,Longfin_Smelt,915,SLS,2,7,10
2012,3,Longfin_Smelt,918,20mm,1,11,11
2012,4,Delta_Smelt,902,20mm,1,8,8
2012,4,Delta_Smelt,914,20mm,2,11,12
2012,4,Longfin_Smelt,902,20mm,1,8,8
2012,4,Longfin_Smelt,915,20mm,2,13,16
2012,5,Delta_Smelt,915,20mm,2,9,25
2012,6,Delta_Smelt,914,20mm,1,14,14
2012,6,Delta_Smelt,915,20mm,1,13,13
2013,1,Longfin_Smelt,901,SLS,61,6,8
2013,1,Longfin_Smelt,902,SLS,1,7,7
2013,1,Longfin_Smelt,914,SLS,1,8,8
2013,1,Longfin_Smelt,915,SLS,2,7,7
2013,2,Longfin_Smelt,901,SLS,47,6,9
2013,2,Longfin_Smelt,902,SLS,24,6,10
2013,2,Longfin_Smelt,914,SLS,2,8,10
2013,2,Longfin_Smelt,915,SLS,12,7,9
2013,2,Longfin_Smelt,918,SLS,8,7,9
2013,3,Delta_Smelt,902,SLS,3,7,7
2013,3,Delta_Smelt,914,20mm,1,12,12
2013,3,Delta_Smelt,915,20mm,1,8,8
2013,3,Longfin_Smelt,901,SLS,4,6,7
2013,3,Longfin_Smelt,902,20mm,2,10,10
2013,3,Longfin_Smelt,902,SLS,1,8,8
2013,3,Longfin_Smelt,915,20mm,5,9,14
2013,3,Longfin_Smelt,915,SLS,4,8,9
2013,3,Longfin_Smelt,918,20mm,1,13,13
2013,4,Delta_Smelt,902,20mm,2,14,14
2013,4,Delta_Smelt,915,20mm,1,13,13
2013,4,Longfin_Smelt,902,20mm,2,9,12
2013,4,Longfin_Smelt,918,20mm,1,10,10
2013,5,Delta_Smelt,902,20mm,2,23,26
2014,1,Longfin_Smelt,901,SLS,18,6,7
2014,1,Longfin_Smelt,902,SLS,8,6,7
2014,1,Longfin_Smelt,915,SLS,2,7,8
2014,1,Longfin_Smelt,918,SLS,2,8,9
2014,2,Longfin_Smelt,901,SLS,11,6,8
2014,2,Longfin_Smelt,902,SLS,5,7,10
2014,2,Longfin_Smelt,914,SLS,1,9,9
2014,2,Longfin_Smelt,915,SLS,8,8,12
2014,3,Longfin_Smelt,901,SLS,8,6,14
2014,3,Longfin_Smelt,902,20mm,2,13,15
2014,4,Longfin_Smelt,914,20mm,1,12,12
2015,2,Delta_Smelt,902,SKT,1,68,68
2015,2,Longfin_Smelt,901,SLS,3,6,9
2015,2,Longfin_Smelt,914,SLS,2,8,9
2015,2,Longfin_Smelt,915,SLS,2,7,8
2015,3,Delta_Smelt,902,SLS,4,6,8
