SubRegion,SurfaceArea,MeanDepth,Volume2_Surface,Volume2_4m,Volume4_6m,Volume6_8m,Volume8_10m,Volume10_Bottom,TotalVolume
Cache Slough and Liberty Island,16.9,4.44,23750,17840,11910,8230,6250,7170,75150
Carquinez Strait,18.5,12.42,34620,28120,25790,24120,21930,95030,229610
Disappoinment Slough,7.0,7.11,18980,13260,7720,4490,3000,2020,49470
East San Pablo Bay,44.2,5.48,99910,56400,31020,22960,15440,16500,242230
Franks Tract,20.7,3.92,42420,22590,7500,4320,2370,1910,81110
Grant Line Canal and Old River,4.6,2.96,8230,4150,1190,100,10,0,13680
Holland Cut,6.7,4.08,10860,7930,4870,2610,990,260,27520
Honker Bay,19.8,6.23,37700,22140,15340,13270,11260,23660,123370
Lower Napa River,12.3,3.16,18460,9440,6310,3270,1080,320,38880
Lower Sacramento River,25.7,6.32,44760,31780,27940,24510,17950,15520,162460
Lower San Joaquin River,27.8,5.58,49920,32600,24730,18870,13540,15750,155410
Mid San Pablo Bay,93.6,4.25,172670,108560,45030,31110,22050,18470,397890
Mid Suisun Bay,54.6,4.08,102470,49160,31030,18740,11080,10350,222830
Middle River,3.8,3.14,4730,3710,2120,960,340,90,11950
Mildred Island,10.3,4.83,17970,16410,8420,4060,1880,1210,49950
North and South Forks Mokelumne River,11.8,4.18,19270,14950,8360,4030,1690,860,49160
Old River,3.3,4.15,5590,4450,2420,990,260,50,13760
Rock Slough and Discovery Bay,2.7,1.45,2500,1250,170,10,0,0,3930
Sacramento River near Rio Vista,12.9,6.65,23910,22270,18250,11620,6200,3250,85500
Sacramento River near Ryde,4.2,4.15,6790,5740,3650,1100,260,70,17610
Sacramento River Ship Channel,6.1,4.92,7710,6570,5640,4790,3760,1630,30100
San Joaquin River at Prisoners Pt,11.5,6.52,20830,16790,12490,9350,7100,8190,74750
San Joaquin River at Twitchell Island,9.2,8.77,17010,15540,13150,10930,9010,14740,80380
San Joaquin River near Stockton,7.4,5.54,11900,9760,7000,5150,4020,2950,40780
Suisun Marsh,15.4,2.93,19510,12280,7700,3680,1310,650,45130
Upper Napa River,1.5,0.74,1030,50,20,0,0,0,1100
Upper Sacramento River,13.3,4.05,20320,17050,10580,4550,980,320,53800
Upper San Joaquin River,1.4,2.12,1720,960,170,10,0,0,2860
Victoria Canal,3.0,3.39,4570,3480,1680,350,40,0,10120
West Suisun Bay,29.4,6.82,52950,40940,33600,25680,18900,28030,200100
