Station_Latitude,Station_Longitude,StationCode,Region,SubRegion,strata_depth,category
37.67917,-122.3125,101,,,,
37.69361,-122.31306,102,,,,
37.59028,-122.25972,103,,,,
37.60556,-122.28472,104,,,,
37.62444,-122.30111,105,,,,
37.64583,-122.31389,106,,,,
37.66806,-122.32611,107,,,,
37.69167,-122.33889,108,,,,
37.71167,-122.33944,109,,,,
37.73333,-122.34528,110,,,,
37.75417,-122.35083,111,,,,
37.78583,-122.36111,112,,,,
37.67917,-122.35833,113,,,,
37.81861,-122.42139,201,,,,
37.84722,-122.44722,202,,,,
37.85778,-122.46972,203,,,,
37.83417,-122.39639,204,,,,
37.82778,-122.35833,205,,,,
37.84389,-122.34111,206,,,,
37.87,-122.345,207,,,,
37.86528,-122.39861,208,,,,
37.88972,-122.42222,209,,,,
37.92139,-122.44,210,,,,
37.94028,-122.44583,211,,,,
37.98031,-122.41197,301,,,4,intermediate
38.01389,-122.375,302,Far West,Mid San Pablo Bay,3,deep
37.97219,-122.425,303,,,3,deep
37.99581,-122.436,304,,,2,very deep
37.9987,-122.4086,305,,,2,very deep
38.00042,-122.41488,306,,,2,very deep
38.00472,-122.4192,307,,,2,very deep
38.01745,-122.40438,308,,,2,very deep
38.01442,-122.39387,309,Far West,Mid San Pablo Bay,2,very deep
38.0297,-122.37355,310,Far West,Mid San Pablo Bay,2,very deep
38.02087,-122.37743,311,Far West,Mid San Pablo Bay,2,very deep
38.01189,-122.432,312,,,3,deep
38.02219,-122.449,313,,,4,intermediate
38.02812,-122.41167,314,Far West,Mid San Pablo Bay,3,deep
38.03815,-122.3936,315,Far West,Mid San Pablo Bay,3,deep
38.06669,-122.427,316,,,4,intermediate
37.99831,-122.449,317,,,3,deep
38.05,-122.431,318,,,4,intermediate
38.0775,-122.432,319,,,4,intermediate
38.02361,-122.305,320,Far West,East San Pablo Bay,4,intermediate
38.03612,-122.36103,321,Far West,Mid San Pablo Bay,2,very deep
38.02363,-122.35078,322,Far West,Mid San Pablo Bay,3,deep
38.04522434,-122.2847965,323,Far West,East San Pablo Bay,3,deep
38.02853,-122.32817,323.1,Far West,Mid San Pablo Bay,4,intermediate
38.05281,-122.319,324,Far West,East San Pablo Bay,2,very deep
38.05605,-122.2955,325,Far West,East San Pablo Bay,2,very deep
38.04038,-122.29592,326,Far West,East San Pablo Bay,4,intermediate
38.04772,-122.36672,327,Far West,Mid San Pablo Bay,3,deep
38.06010696,-122.3487722,328,Far West,Mid San Pablo Bay,4,intermediate
38.06322372,-122.305483,329,Far West,East San Pablo Bay,4,intermediate
38.05213419,-122.4117083,330,Far West,Mid San Pablo Bay,4,intermediate
38.06531,-122.394,331,Far West,Mid San Pablo Bay,4,intermediate
