SurveySeason,Review_Region,SubRegion,StationCode,geometry
SLS,Napa River,Upper Napa River,348,"c(-122.284638888836, 38.2730833334389)"
SLS,Napa River,Upper Napa River,349,"c(-122.28338888889, 38.2861388889944)"
20mm,Napa River,Upper Napa River,344,"c(-122.308152012411, 38.2126155455573)"
20mm,Napa River,Upper Napa River,345,"c(-122.303933349578, 38.2263010003958)"
20mm,Napa River,Upper Napa River,346,"c(-122.286596650224, 38.2378183148035)"
20mm,Napa River,Upper Napa River,347,"c(-122.283441460234, 38.2548913343194)"
SLS,Napa River,Upper Napa River,344,"c(-122.308152012411, 38.2126155455573)"
SLS,Napa River,Upper Napa River,345,"c(-122.303933349578, 38.2263010003958)"
SLS,Napa River,Upper Napa River,346,"c(-122.286596650224, 38.2378183148035)"
SLS,Napa River,Upper Napa River,347,"c(-122.283441460234, 38.2548913343194)"
FMWT,Napa River,Lower Napa River,341,"c(-122.2802, 38.12828)"
20mm,Napa River,Lower Napa River,340,"c(-122.263643827493, 38.0994776986108)"
FMWT,Napa River,Lower Napa River,340,"c(-122.263643827493, 38.0994776986108)"
SKT,Napa River,Lower Napa River,340,"c(-122.263643827493, 38.0994776986108)"
SLS,Napa River,Lower Napa River,340,"c(-122.263643827493, 38.0994776986108)"
STN,Napa River,Lower Napa River,340,"c(-122.263643827493, 38.0994776986108)"
20mm,Napa River,Lower Napa River,343,"c(-122.309768266415, 38.1833581693355)"
SLS,Napa River,Lower Napa River,343,"c(-122.309768266415, 38.1833581693355)"
20mm,Napa River,Lower Napa River,342,"c(-122.287598265371, 38.146127846192)"
SLS,Napa River,Lower Napa River,342,"c(-122.287598265371, 38.146127846192)"
STN,Napa River,Lower Napa River,342,"c(-122.287598265371, 38.146127846192)"
FMWT,Far West,SF and Outer SP Bays,307,"c(-122.4192, 38.00472)"
FMWT,Far West,SF and Outer SP Bays,306,"c(-122.41488, 38.00042)"
FMWT,Far West,SF and Outer SP Bays,305,"c(-122.4086, 37.9987)"
FMWT,Far West,SF and Outer SP Bays,308,"c(-122.40438, 38.01745)"
FMWT,Far West,Mid San Pablo Bay,314,"c(-122.41167, 38.02812)"
FMWT,Far West,Mid San Pablo Bay,309,"c(-122.39387, 38.01442)"
FMWT,Far West,Mid San Pablo Bay,315,"c(-122.3936, 38.03815)"
FMWT,Far West,Mid San Pablo Bay,311,"c(-122.37743, 38.02087)"
FMWT,Far West,Mid San Pablo Bay,310,"c(-122.37355, 38.0297)"
FMWT,Far West,Mid San Pablo Bay,327,"c(-122.36672, 38.04772)"
FMWT,Far West,Mid San Pablo Bay,321,"c(-122.36103, 38.03612)"
FMWT,Far West,Mid San Pablo Bay,322,"c(-122.35078, 38.02363)"
FMWT,Far West,Mid San Pablo Bay,323.1,"c(-122.32817, 38.02853)"
20mm,Far West,Mid San Pablo Bay,328,"c(-122.349367469491, 38.0602032472717)"
20mm,Far West,Mid San Pablo Bay,334,"c(-122.338196965713, 38.0762616920342)"
FMWT,Far West,Mid San Pablo Bay,328,"c(-122.349367469491, 38.0602032472717)"
FMWT,Far West,Mid San Pablo Bay,334,"c(-122.338196965713, 38.0762616920342)"
FMWT,Far West,East San Pablo Bay,326,"c(-122.29592, 38.04038)"
FMWT,Far West,East San Pablo Bay,325,"c(-122.2955, 38.05605)"
FMWT,Far West,East San Pablo Bay,337,"c(-122.27232, 38.0595)"
20mm,Far West,East San Pablo Bay,335,"c(-122.324062681863, 38.0709834256644)"
20mm,Far West,East San Pablo Bay,329,"c(-122.304599933909, 38.0634543907686)"
20mm,Far West,East San Pablo Bay,336,"c(-122.27827218543, 38.0616881904135)"
FMWT,Far West,East San Pablo Bay,335,"c(-122.324062681863, 38.0709834256644)"
FMWT,Far West,East San Pablo Bay,329,"c(-122.304599933909, 38.0634543907686)"
FMWT,Far West,East San Pablo Bay,336,"c(-122.27827218543, 38.0616881904135)"
20mm,Far West,East San Pablo Bay,323,"c(-122.285537790023, 38.0440770976689)"
STN,Far West,East San Pablo Bay,323,"c(-122.285537790023, 38.0440770976689)"
FMWT,Far West,Carquinez Strait,339,"c(-122.2568, 38.0667)"
FMWT,Far West,Carquinez Strait,338,"c(-122.24892, 38.06003)"
FMWT,Far West,Carquinez Strait,401,"c(-122.21245, 38.05758)"
FMWT,Far West,Carquinez Strait,404,"c(-122.17887, 38.04645)"
FMWT,Far West,Carquinez Strait,403,"c(-122.17192, 38.04883)"
FMWT,Far West,Carquinez Strait,405.1,"c(-122.15815, 38.03353)"
FMWT,Far West,Carquinez Strait,406,"c(-122.15057, 38.028)"
FMWT,Far West,Carquinez Strait,407,"c(-122.14515, 38.03298)"
20mm,Far West,Carquinez Strait,405,"c(-122.14982792197, 38.0397339783986)"
SKT,Far West,Carquinez Strait,405,"c(-122.14982792197, 38.0397339783986)"
SLS,Far West,Carquinez Strait,405,"c(-122.14982792197, 38.0397339783986)"
STN,Far West,Carquinez Strait,405,"c(-122.14982792197, 38.0397339783986)"
FMWT,Far West,West Suisun Bay,408,"c(-122.12897, 38.03513)"
FMWT,Far West,West Suisun Bay,414,"c(-122.11128, 38.05213)"
FMWT,Far West,West Suisun Bay,415,"c(-122.10772, 38.05678)"
FMWT,Far West,West Suisun Bay,409,"c(-122.10637, 38.04455)"
FMWT,Far West,West Suisun Bay,410,"c(-122.09647, 38.04883)"
FMWT,Far West,West Suisun Bay,416,"c(-122.09415, 38.0702)"
FMWT,Far West,West Suisun Bay,417,"c(-122.083, 38.08075)"
FMWT,Far West,West Suisun Bay,418.1,"c(-122.06973, 38.09383)"
FMWT,Far West,West Suisun Bay,401.1,"c(-122.06828, 38.06117)"
FMWT,Far West,West Suisun Bay,412,"c(-122.06007, 38.06462)"
20mm,Far West,West Suisun Bay,418,"c(-122.097087428323, 38.0656655345911)"
20mm,Far West,West Suisun Bay,411,"c(-122.082409830386, 38.051162386264)"
SKT,Far West,West Suisun Bay,418,"c(-122.097087428323, 38.0656655345911)"
SKT,Far West,West Suisun Bay,411,"c(-122.082409830386, 38.051162386264)"
SLS,Far West,West Suisun Bay,418,"c(-122.097087428323, 38.0656655345911)"
SLS,Far West,West Suisun Bay,411,"c(-122.082409830386, 38.051162386264)"
STN,Far West,West Suisun Bay,418,"c(-122.097087428323, 38.0656655345911)"
STN,Far West,West Suisun Bay,411,"c(-122.082409830386, 38.051162386264)"
20mm,Cache Slough and Liberty Island,Cache Slough and Liberty Island,720,"c(-121.779277778203, 38.2626388888889)"
20mm,Cache Slough and Liberty Island,Cache Slough and Liberty Island,718,"c(-121.729027777778, 38.2575555557667)"
20mm,Cache Slough and Liberty Island,Cache Slough and Liberty Island,724.1,"c(-121.652083333333, 38.25625)"
20mm,Cache Slough and Liberty Island,Cache Slough and Liberty Island,726,"c(-121.643833333122, 38.2830555555556)"
FMWT,Cache Slough and Liberty Island,Cache Slough and Liberty Island,715,"c(-121.673981007018, 38.2236751481628)"
SKT,Cache Slough and Liberty Island,Cache Slough and Liberty Island,715,"c(-121.673981007018, 38.2236751481628)"
FMWT,Cache Slough and Liberty Island,Cache Slough and Liberty Island,721,"c(-121.702865866914, 38.2682400876803)"
STN,Cache Slough and Liberty Island,Cache Slough and Liberty Island,721,"c(-121.702865866914, 38.2682400876803)"
