CommonName,Core_Survey,SurveySeason,N_Fish,Length_Mean,Length_SD,Length_Min,Length_Q1,Length_Q5,Length_Q25,Length_Median,Length_Q75,Length_Q95,Length_Q99,Length_Max
American_Shad,FALSE,Bay Study,22079,67,20,21,31,41,53,64,77,100,126,350
American_Shad,FALSE,DJFMP,562657,74,19,23,26,52,63,72,82,106,136,1200
American_Shad,FALSE,EDSM,59705,36,16,12,25,25,28,31,36,79,94,315
American_Shad,FALSE,ICF_TPS,1002,92,13,30,54,74,85,92,100,110,129,142
American_Shad,FALSE,Suisun,1682,84,28,12,26,39,71,81,94,128,183,372
American_Shad,TRUE,20mm,2749,19,11,5,7,9,13,17,23,36,47,137
American_Shad,TRUE,FMWT,30661,73,15,22,42,52,64,72,81,97,111,399
American_Shad,TRUE,SKT,2451,89,18,13,30,61,81,89,98,111,139,221
American_Shad,TRUE,STN,3100,35,11,10,18,21,27,33,41,56,68,138
Chinook_Salmon,FALSE,DJFMP,379733,69,28,21,32,35,41,76,86,102,130,880
Chinook_Salmon,FALSE,EDSM,1249,51,33,26,32,34,37,39,48,114,163,720
Chinook_Salmon,FALSE,ICF_TPS,133,62,22,30,31,36,43,57,81,93,123,134
Chinook_Salmon,TRUE,20mm,210,76,59,30,33,36,54,78,88,100,119,857
Chinook_Salmon,TRUE,FMWT,142,221,220,37,53,84,124,145,168,800,888,1100
Chinook_Salmon,TRUE,SKT,8464,81,19,26,35,41,74,82,89,102,139,270
Chinook_Salmon,TRUE,SLS,18,38,5,33,33,33,34,36,38,46,50,51
Chinook_Salmon,TRUE,STN,10,156,219,73,74,77,82,86,98,476,719,780
Crangon,TRUE,FMWT,3,26,7,20,20,21,22,25,29,32,33,33
Delta_Smelt,FALSE,Bay Study,1056,58,11,24,32,37,52,59,65,76,86,94
Delta_Smelt,FALSE,DJFMP,7216,66,13,25,30,43,60,67,74,85,91,113
Delta_Smelt,FALSE,EDSM,995,51,10,26,33,37,44,50,58,70,74,83
Delta_Smelt,FALSE,Suisun,79,63,11,22,32,39,58,62,70,76,83,87
Delta_Smelt,TRUE,20mm,4478,23,12,5,6,8,15,21,28,45,70,88
Delta_Smelt,TRUE,FMWT,1144,59,7,36,43,47,54,60,64,69,84,93
Delta_Smelt,TRUE,SKT,17781,65,7,16,51,54,60,65,70,76,81,94
Delta_Smelt,TRUE,SLS,480,9,13,5,5,5,5,6,7,10,69,80
Delta_Smelt,TRUE,STN,2933,38,10,11,19,23,31,38,45,54,61,90
Inland_Silverside,FALSE,DJFMP,1805712,51,16,3,25,29,39,50,62,79,88,600
Inland_Silverside,FALSE,EDSM,22413,52,14,12,25,30,42,51,59,77,88,112
Inland_Silverside,FALSE,ICF_TPS,761,63,12,34,35,45,56,62,71,82,93,109
Inland_Silverside,TRUE,20mm,1304,19,14,4,5,5,11,14,21,47,76,96
Inland_Silverside,TRUE,FMWT,156,64,12,35,42,49,56,62,72,85,91,120
Inland_Silverside,TRUE,SKT,6516,74,12,29,44,54,66,75,83,94,102,170
Inland_Silverside,TRUE,SLS,7,58,15,41,41,42,46,55,68,79,81,82
Inland_Silverside,TRUE,STN,1314,38,11,11,17,22,30,38,45,55,64,94
