SurveySeason,Region,NetType,CommonName,Core_Survey,Month,SurveyCategory,N_Fish,Length_Mean,Length_SD,Length_Min,Length_Q1,Length_Q5,Length_Q25,Length_Median,Length_Q75,Length_Q95,Length_Q99,Length_Max
20mm,Far West,Pelagic Trawl,American_Shad,TRUE,3,CDFW,2,106,11,98,98,99,102,106,110,113,114,114
20mm,Far West,Pelagic Trawl,American_Shad,TRUE,4,CDFW,5,114,6,107,107,108,112,114,115,121,123,123
20mm,Far West,Pelagic Trawl,American_Shad,TRUE,5,CDFW,22,17,22,7,7,8,10,13,15,19,95,115
20mm,Far West,Pelagic Trawl,American_Shad,TRUE,6,CDFW,70,18,9,9,10,10,12,16,20,30,51,55
20mm,Far West,Pelagic Trawl,American_Shad,TRUE,7,CDFW,11,27,12,9,9,11,20,26,33,46,48,49
20mm,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,2,76,58,35,36,39,56,76,96,113,116,117
20mm,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,4,CDFW,20,81,15,45,45,47,78,86,91,94,95,95
20mm,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,5,CDFW,27,110,150,50,54,65,76,83,92,98,660,857
20mm,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,6,CDFW,6,87,14,67,67,68,77,90,98,101,101,101
20mm,Far West,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,5,11,3,7,7,7,9,12,14,14,14,14
20mm,Far West,Pelagic Trawl,Delta_Smelt,TRUE,4,CDFW,125,14,6,8,8,8,11,13,16,19,23,72
20mm,Far West,Pelagic Trawl,Delta_Smelt,TRUE,5,CDFW,219,18,6,6,6,10,14,18,22,28,30,39
20mm,Far West,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,250,25,8,10,11,14,19,24,29,38,47,52
20mm,Far West,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,15,39,10,21,21,23,34,39,46,52,53,53
20mm,Far West,Pelagic Trawl,Inland_Silverside,TRUE,3,CDFW,3,66,10,60,60,60,60,61,70,76,78,78
20mm,Far West,Pelagic Trawl,Inland_Silverside,TRUE,4,CDFW,8,52,28,5,5,6,47,66,69,72,73,73
20mm,Far West,Pelagic Trawl,Inland_Silverside,TRUE,5,CDFW,5,13,11,5,5,5,6,10,11,27,30,31
20mm,Far West,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,700,12,5,4,5,5,7,12,14,17,30,52
20mm,Far West,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,208,26,8,13,13,13,18,25,31,43,43,43
20mm,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,14361,17,7,5,6,8,12,17,22,29,35,87
20mm,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,4,CDFW,13670,21,8,6,8,10,15,20,25,34,39,131
20mm,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,5,CDFW,5115,23,9,6,11,14,18,23,27,35,41,161
20mm,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,706,29,7,13,15,19,25,29,33,39,46,89
