SurveySeason,Review_Region,Review_Stratum,SubRegion,StationCode,Year,Station_Surveys,Station_Tows,Station_Volume,Subregion_Surveys,Subregion_Tows,Subregion_Volume,Strata_Surveys,Strata_Tows,Strata_Volume,Region_Surveys,Region_Tows,Region_Volume
20mm,Far West,Napa River*,Upper Napa River,344,2002,7,17,14.22076243819,23,53,44.22357529205,43,113,95.44198529327001,56,148,124.97104731188
20mm,Far West,Napa River*,Upper Napa River,344,2003,7,21,18.194223298020002,21,63,55.36761517518,42,123,109.12066315689,56,162,144.58197835389
20mm,Far West,Napa River*,Upper Napa River,344,2004,5,15,13.81640037624,16,45,41.16142032156,33,92,84.79624607454001,46,128,117.95965668487001
20mm,Far West,Napa River*,Upper Napa River,344,2005,8,22,20.4980928845,24,68,63.710093480880005,48,139,130.77129950808,64,185,173.57796416499
20mm,Far West,Napa River*,Upper Napa River,344,2006,9,23,19.90845062437,27,71,62.6511639908,54,151,135.4838116709,104,293,263.06813757301
20mm,Far West,Napa River*,Upper Napa River,344,2007,6,17,15.273483459080001,15,42,38.47339663167,35,98,90.65574248654,51,140,128.13854336745
20mm,Far West,Napa River*,Upper Napa River,344,2008,7,21,18.67077403114,21,62,55.72604268077,42,125,113.720489575,57,167,152.01104070229002
20mm,Far West,Napa River*,Upper Napa River,344,2009,6,16,15.246377201440001,18,50,47.914855140460006,41,115,109.87359221454001,58,164,155.82222922035
20mm,Far West,Napa River*,Upper Napa River,344,2010,7,21,18.71443620662,21,62,55.469182484870004,43,126,113.64188954349001,58,165,149.30418871368002
20mm,Far West,Napa River*,Upper Napa River,344,2011,9,27,25.779227784310002,27,81,77.4317842683,54,154,148.15623058698,82,232,220.49938307859
20mm,Far West,Napa River*,Upper Napa River,344,2012,9,27,24.35570289768,27,80,73.30972593021,54,158,147.31191935537,72,206,192.62270716381002
20mm,Far West,Napa River*,Upper Napa River,344,2013,9,26,23.83906087332,26,72,65.81772674708,53,149,137.02927413868,71,199,182.9952380487
20mm,Far West,Napa River*,Upper Napa River,344,2014,7,21,20.06816653765,21,60,57.509658780420004,45,129,123.21705332013,62,178,168.36358045353
20mm,Far West,Napa River*,Upper Napa River,344,2015,7,19,18.34476853132,15,33,31.37760328626,36,85,83.47578989211,53,128,126.24970791741
20mm,Far West,Napa River*,Upper Napa River,344,2016,8,24,22.2944911266,22,64,60.1580375396,48,135,129.76885491416002,66,186,178.88778787341002
20mm,Far West,Napa River*,Upper Napa River,344,2017,8,22,20.55441546774,25,66,61.213517880130006,52,142,133.36757581994001,91,257,242.74724981892
